,    Population 16 years and over,        In labor force,            Civilian labor force,                Employed,                Unemployed,            Armed Forces,        Not in labor force,    Civilian labor force,        Unemployment Rate,    Females 16 years and over,        In labor force,            Civilian labor force,                Employed,    Own children of the householder under 6 years,        All parents in family in labor force,    Own children of the householder 6 to 17 years,        All parents in family in labor force
North Carolina,"8,457,219","5,272,092","5,174,709","4,937,837","236,872","97,383","3,185,127","5,174,709",(X),"4,401,459","2,535,166","2,526,741","2,412,134","683,764","460,380","1,479,224","1,081,386"
North Dakota,"602,982","424,480","416,619","405,699","10,920","7,861","178,502","416,619",(X),"296,049","193,059","191,349","186,569","59,134","45,021","110,341","92,408"
Ohio,"9,407,641","5,976,393","5,965,597","5,692,943","272,654","10,796","3,431,248","5,965,597",(X),"4,844,046","2,872,472","2,869,625","2,743,260","786,440","539,322","1,631,303","1,211,949"
Oklahoma,"3,110,626","1,895,848","1,872,933","1,791,228","81,705","22,915","1,214,778","1,872,933",(X),"1,584,366","884,019","880,687","842,437","287,218","181,492","598,169","421,568"
Oregon,"3,451,654","2,158,612","2,153,329","2,045,338","107,991","5,283","1,293,042","2,153,329",(X),"1,755,200","1,028,080","1,027,513","978,661","260,418","174,924","555,351","400,988"
Pennsylvania,"10,474,419","6,592,650","6,580,742","6,285,109","295,633","11,908","3,881,769","6,580,742",(X),"5,395,473","3,164,166","3,162,164","3,025,706","800,200","566,145","1,686,674","1,249,209"
Rhode Island,"880,978","575,681","572,113","547,914","24,199","3,568","305,297","572,113",(X),"454,866","279,633","279,063","270,232","62,009","48,653","133,566","105,548"
South Carolina,"4,158,317","2,513,088","2,475,751","2,359,714","116,037","37,337","1,645,229","2,475,751",(X),"2,175,978","1,217,476","1,210,860","1,154,057","321,117","221,363","706,730","522,167"
South Dakota,"692,113","469,624","467,008","452,975","14,033","2,616","222,489","467,008",(X),"344,611","220,755","220,498","216,256","68,351","50,420","132,478","106,052"
Tennessee,"5,487,875","3,387,696","3,367,774","3,215,401","152,373","19,922","2,100,179","3,367,774",(X),"2,841,564","1,630,064","1,628,215","1,550,578","457,043","298,758","943,915","688,282"
Texas,"22,425,612","14,574,146","14,465,653","13,830,576","635,077","108,493","7,851,466","14,465,653",(X),"11,383,962","6,643,391","6,629,210","6,328,185","2,281,869","1,430,535","4,734,548","3,251,408"
Utah,"2,378,652","1,656,987","1,650,952","1,598,530","52,422","6,035","721,665","1,650,952",(X),"1,190,909","745,123","744,006","720,199","290,991","157,789","608,753","395,033"
Vermont,"525,153","343,455","342,799","331,247","11,552",656,"181,698","342,799",(X),"267,514","166,482","166,393","161,237","32,413","25,534","75,451","62,043"
Virginia,"6,880,704","4,537,998","4,404,927","4,229,399","175,528","133,071","2,342,706","4,404,927",(X),"3,529,616","2,176,830","2,153,908","2,066,394","571,960","403,348","1,183,421","894,094"
Washington,"6,128,444","3,988,571","3,928,762","3,749,409","179,353","59,809","2,139,873","3,928,762",(X),"3,080,264","1,825,399","1,816,291","1,730,646","526,276","333,762","1,058,120","749,485"
West Virginia,"1,476,688","795,104","792,405","744,981","47,424","2,699","681,584","792,405",(X),"752,711","372,046","371,798","352,062","101,267","59,868","220,326","145,116"
Wisconsin,"4,707,424","3,104,192","3,100,947","3,002,074","98,873","3,245","1,603,232","3,100,947",(X),"2,383,333","1,491,592","1,490,903","1,450,191","378,939","283,183","824,576","651,129"
Wyoming,"458,477","297,245","294,289","283,750","10,539","2,956","161,232","294,289",(X),"225,033","135,933","135,568","130,954","38,494","24,239","87,149","69,450"
