,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,290788976.0,1383676.0,16528.0,93883.0,414235.0,859030.0,10442862.0,2154834.0,7026802.0,1261226.0
Alaska,0.002229383001094237,0.0028019565273951414,0.0023596321393998063,0.00644419117412098,0.0010766835250522046,0.003244357007322212,0.0023351835923906684,0.0017978183006208367,0.002568878417237315,0.001951275980672774
Alabama,0.015487953023363582,0.013970756159679,0.01809051306873185,0.01763897617246999,0.014576267094765049,0.013198607731976765,0.017451250433070935,0.020068831288164193,0.017652269126125938,0.011859095832150621
Arkansas,0.009380596326320156,0.008997048441976302,0.010890609874152952,0.009703567205990435,0.005376175359397444,0.010629430869701873,0.009488203521218609,0.011609246930389998,0.009685914018923544,0.0047628260121500825
Arizona,0.019186497633940567,0.02069704179302091,0.026681994191674732,0.01976928730441081,0.01839294120487163,0.021794349440648172,0.030100464795953446,0.0272007031632135,0.02828100179854221,0.045191742003415726
California,0.12195342646001821,0.14855428582991972,0.14563165537270087,0.10645164726308277,0.15394643137349573,0.15061173649348683,0.11635565039545673,0.11243279064651848,0.10409941819906125,0.19134239224373745
Colorado,0.015638945679976535,0.011387781532670943,0.011193126815101645,0.020376425977013942,0.009023863266020496,0.011549072791404259,0.017208500887974962,0.015033176569517652,0.01771730582418574,0.018090334325489642
Connecticut,0.011991376179267538,0.007982360032261888,0.006776379477250726,0.007434785850473462,0.010168141272466113,0.007011396575206919,0.008903785188389926,0.007445121062689748,0.009331129580711112,0.009015037748983925
District of Columbia,0.001917610521796397,0.006548498347879128,0.015065343659244917,0.0029185262507589235,0.009513923256122733,0.005351384701349196,0.003130942456196395,0.002167684378471845,0.002578555650209014,0.007854262439879927
Delaware,0.0028136073494065333,0.003992986797487273,0.0012705711519845112,0.003941075594090517,0.003478701703139522,0.004299034958034062,0.002675799029040123,0.0028150660329287545,0.0026943978213702334,0.002334236687159954
Florida,0.058458822042827374,0.08981871478583137,0.05590513068731849,0.07165301492282948,0.07609931560587589,0.09907220935240911,0.07255635476175018,0.07919125092698556,0.07193727672986944,0.06466961512052559
Georgia,0.029837651066937282,0.028500169114734953,0.039750726040658275,0.02379557534377896,0.033901046507417286,0.026193497316740977,0.03539154304634113,0.036662220848566525,0.035179018848118956,0.03440461899770541
Hawaii,0.0042943684357552815,0.0024572226446075525,0.0013310745401742497,0.0039091209271114044,0.002819655509553756,0.0021454431160727798,0.006307370527351601,0.005294607380429304,0.006376584967101678,0.0076520782159581234
