,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,272690813.0,1426044.0,15522.0,89411.0,409371.0,911740.0,10208334.0,2100739.0,6955520.0,1152075.0
Alaska,0.002271803707593185,0.0027404484013116006,0.0033500837520938024,0.005782286295869635,0.0013826089293086223,0.0030414372518481145,0.0022627590359014507,0.0018026989549867927,0.0023943572874493926,0.0023071414621443917
Alabama,0.016024969642083248,0.015021275640863816,0.022226517201391575,0.016921855252709398,0.012939363071639173,0.015647004628512515,0.01679000706677505,0.018397335413871025,0.017197276407802723,0.011400299459670594
Arkansas,0.009356285134549069,0.007607058407734965,0.009212730318257957,0.00794085738891188,0.0049441704468562745,0.008742623993682409,0.009039966756573599,0.010325890079633882,0.009190829729481046,0.005784345637219799
Arizona,0.017522893226329557,0.018466470880281395,0.024739080015461924,0.015467895449105814,0.017802922043818444,0.018951674819575756,0.02501887183550225,0.02352648282342547,0.024114803781744572,0.03319835948180457
California,0.12154835960681962,0.14577320194888796,0.12917149851823218,0.10471865877800271,0.14666158570099005,0.14968302366902844,0.10317893203729424,0.10654060309253077,0.09503114073426573,0.14624047913547294
Colorado,0.014874476170929895,0.009684834409036468,0.011918567194949105,0.01877845007884936,0.007465111109482597,0.009751683594007063,0.014792031687050991,0.012842623476786027,0.015703786345233714,0.01284204587374954
Connecticut,0.012035722670275658,0.007953471281391037,0.006893441566808401,0.0073145362427441815,0.009902997525472005,0.007158839142738061,0.009785534054822265,0.00918629110993798,0.00996316594589621,0.009805785213636266
District of Columbia,0.0019032544378383587,0.005924080883899795,0.015526349697203968,0.0027737079330283744,0.008168629433936453,0.0050617500603242155,0.003273795704568444,0.0024120083456345602,0.003119968025395657,0.005773929648677387
Delaware,0.0027633420858956476,0.0038806656737099274,0.0015461925009663702,0.0059164979700484285,0.0036446157641845662,0.0038267488538399107,0.003029093679732658,0.002496740432771515,0.003254106091277144,0.002641321094546796
Florida,0.05541530289837817,0.09049089649407732,0.055340806597088,0.07817830020914653,0.07809297678633806,0.09786342597670389,0.07921703972460149,0.08634009270071151,0.07678865131578948,0.08088969902133107
Georgia,0.02856069815597345,0.029161091803618963,0.037559592835974744,0.025936406035051617,0.031663210144343396,0.028210893456467854,0.03520486300702935,0.03400184411295263,0.03563126840264998,0.03482412169346614
Hawaii,0.004347403518871022,0.0019529551682837276,0.002834686251771679,0.003959244388274373,0.0025502539261452327,0.0014730076556913156,0.005342595569463146,0.0044846123197598555,0.005816675101214575,0.0040448755506368944
