,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,311587816.0,1206031.0,14661.0,84175.0,354772.0,752423.0,9052743.0,2185140.0,6151095.0,716508.0
Alaska,0.0023231331997910984,0.003661597421625149,0.0020462451401677922,0.00517968517968518,0.001623577959929194,0.004484179776535273,0.0021091949699665615,0.0013051795308309765,0.002414854590930558,0.0019371730671534722
Alabama,0.015416806284877327,0.016720963225655062,0.020394243230338994,0.016275616275616276,0.01382859977675803,0.01806297787281888,0.0191314389461846,0.023393924416742175,0.018112384868060077,0.014880503776650086
Arkansas,0.00943099135814733,0.01175177089146133,0.010913307414228225,0.014612414612414613,0.00664370356172415,0.013856567382974735,0.012198512649701863,0.015566965960991058,0.01148494698911332,0.008051550017585288
Arizona,0.020755994515523676,0.02221253019200999,0.027078644021553782,0.029688149688149687,0.020139695353635575,0.022258756045469105,0.025395175804725705,0.025030432832678914,0.025263794495126477,0.027635420679182926
California,0.12094161281325583,0.1284734803665909,0.12222904303935611,0.09106029106029107,0.1530306788585345,0.12120177081242865,0.10757203645348155,0.10529073652031448,0.09704044564423082,0.2049411869790707
Colorado,0.016420096477713364,0.013337136441766421,0.010572266557533593,0.027145827145827146,0.009298930017025019,0.013750244211035548,0.014667488075161307,0.011772701062632143,0.015615756219014664,0.015355027438632925
Connecticut,0.011511095157841473,0.008199623392765195,0.008798854102721507,0.008185328185328185,0.010398227594060411,0.007152891392208904,0.008528354334150433,0.007078722644773333,0.008952389777755018,0.009309037721839813
District of Columbia,0.0019866630471841043,0.006163191493419324,0.007366482504604052,0.0020552420552420554,0.011539805847135626,0.004064203247375479,0.003275692240462366,0.0017619008393054908,0.00347043900313684,0.006220446945463275
Delaware,0.0029145459269177584,0.004265230329900309,0.0032739922242684674,0.003647163647163647,0.004391552884669591,0.004294127106693974,0.003442382049286056,0.003485817842335045,0.0035767615359541677,0.002156291346363195
Florida,0.06124200312120035,0.08142245099835742,0.06711684059750359,0.06264330264330265,0.07222103209948925,0.08814058049793799,0.07414327348075606,0.07787647473388433,0.07501233520210629,0.05529735885712372
Georgia,0.03149179620040085,0.03048180353573001,0.0374462860650706,0.024544104544104543,0.034574318153631066,0.029080716565017282,0.03946152011605764,0.04393951874937075,0.03764256607969801,0.041420333059784396
