,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,318907401.0,1153022.0,14164.0,84864.0,118027.0,322905.0,731089.0,8209010.0,1713153.0,5809054.0,686803.0
Alaska,0.00231115990939326,0.00406236828091745,0.002894662524710534,0.0065163084464555055,0.006532403602565515,0.001947941344977625,0.00443584843979324,0.0024770343805160426,0.001838714930890586,0.002658780586305447,0.0025320215549437027
Alabama,0.015196922319153075,0.01797623982890179,0.019486020898051397,0.016791572398190045,0.016987638421717063,0.014561558353075982,0.01879935274638245,0.018770472931571528,0.02318707085706881,0.017941475496698774,0.014765515002118512
Arkansas,0.009303123698907194,0.012357092926240782,0.012355266873764474,0.015212575414781297,0.015386309912138747,0.006308356947089701,0.013979146177825134,0.012114980978217836,0.01448557134126374,0.011878181886413864,0.008204681691838854
Arizona,0.02109948837468341,0.022915434397609066,0.021957074272804293,0.02776206636500754,0.02772247028222356,0.019278115854508292,0.022725003385360744,0.025996557441153076,0.02534041034280067,0.026283625526634803,0.025205189843375757
California,0.12164123779617143,0.13335651878281593,0.12002259248799774,0.09885228129713423,0.09809619832750134,0.1507595113113764,0.1255715788365028,0.11538455916121432,0.11830175121544895,0.10202573431061236,0.22109833533050963
Colorado,0.01679355193139591,0.014298946594254056,0.010590228748940977,0.026348039215686275,0.026171977598346143,0.00940524302813521,0.013966835775124507,0.016541458714266398,0.01371856454152081,0.017160797610075582,0.018344416084379363
Connecticut,0.011272118454221764,0.007436978652618944,0.006283535724371647,0.006822680995475113,0.006727274267752294,0.009823322649076354,0.006182557800760236,0.008445110920805311,0.007014551531591165,0.008812966792871954,0.008902116036185048
District of Columbia,0.0020690520130011033,0.0071108790638860315,0.007413160124258684,0.004112462292609352,0.003999084955137384,0.010829810625416145,0.005642267904454861,0.004159697698017178,0.002023170143005324,0.0046303580583000265,0.00550812969657966
Delaware,0.002934920911415286,0.0039617630886487855,0.0035300762496469924,0.0032286953242835594,0.0033043286705584317,0.003936142209008842,0.003907868946188494,0.0034005318546328975,0.0033651401830426123,0.0035952497601158466,0.001841867318576069
Florida,0.06241802146197291,0.079222252480872,0.06933069754306694,0.059365573152337855,0.060426851483135216,0.06695777395828495,0.08427154559841551,0.07111381274964947,0.07085123161795823,0.07336771185118954,0.05270506972159411
Georgia,0.03166164212037211,0.03378513159332606,0.042855125670714485,0.02602988310708899,0.026663390580121498,0.03959678543224787,0.03065974183717714,0.04131387341469921,0.04554701185474969,0.040171601090298006,0.040416247453782236
Hawaii,0.0044535090610832205,0.0029158160035107745,0.001412030499858797,0.0045720211161387634,0.004643005414015437,0.0029482355491553245,0.002519529086062025,0.005606278954465886,0.004360381121826247,0.005681303702805999,0.008079463834607595
Iowa,0.0097504196837376,0.0073580556138564575,0.004236091499576391,0.00976857088989442,0.009743533259338966,0.003242439726854648,0.00851743084631283,0.007930310719563016,0.008383956365835393,0.008020927331713563,0.00603229747103609
Idaho,0.005126271748080252,0.0029825970363098015,0.0022592487997740753,0.005455788084464555,0.0054648512628466366,0.0006286678744522382,0.003500257834545452,0.003708120711267254,0.0037743272200439775,0.0038383185971416346,0.0024417482160095398
Illinois,0.0403947633689442,0.041434595350305546,0.048715052245128496,0.03749528657616893,0.03667804824319859,0.04729254734364596,0.03759460202519803,0.03284768808906312,0.029628994024468332,0.03460167524695071,0.026040946239314623
Indiana,0.020689014990906404,0.020905932410656518,0.02351030782264897,0.018947963800904976,0.01861438484414583,0.021349932642727738,0.02008100244977014,0.021306954188142053,0.021544485518806552,0.02137077741057322,0.020174635230189735
Kansas,0.00910140997323546,0.008876673645429142,0.006495340299350466,0.012561274509803922,0.012564921585738856,0.004214861956302937,0.009983736590209947,0.00974892222082809,0.009293390607844133,0.009841361433376243,0.010103333852647703
Kentucky,0.013836671667585412,0.008234881901646283,0.011578650098842135,0.012938348416289592,0.01318342413176646,0.010352890168935135,0.006062189418798532,0.01217065151583443,0.013674201895569164,0.012068746477481532,0.00928213767266596
Louisiana,0.014577868012539477,0.02080012350154637,0.033606325896639366,0.011559671945701358,0.011709185186440391,0.017729672813985537,0.022432289365590236,0.019635985338061473,0.02249711496871558,0.019495601177059122,0.013686602999695692
Massachusetts,0.021182086018756274,0.02314699979705504,0.009390002824061,0.01914828431372549,0.018656748032229914,0.018819776714513556,0.024999692239932484,0.015285765274984438,0.014564373409730479,0.015876251107323155,0.012090803330795003
Maryland,0.01873693110057361,0.02321464811599432,0.025557752047444225,0.013480392156862746,0.013827344590644514,0.02962171536520029,0.020801844919018066,0.018320114118511244,0.01642235106846849,0.018787912799571153,0.019097179249362627
Maine,0.0041712923432592275,0.001472651866139588,0.0014826320248517368,0.00407711161387632,0.004100756606539181,0.0009414533686378346,0.0012159942223176658,0.003219267609614314,0.00293902529429654,0.0035446391099135935,0.0011662732981655584
Michigan,0.031094624862594518,0.036907361698215645,0.038407229596159276,0.05302601809954751,0.053919865793420146,0.024889673433362753,0.03776557984048454,0.02469140615007169,0.02587509697032314,0.0236083190137327,0.03089969030420659
Minnesota,0.017111942159034433,0.010845413183790075,0.006212934199378707,0.01706259426847662,0.0169537478712498,0.011418218980814791,0.009204077752503457,0.01527309626861217,0.012125595320441315,0.01656672497793961,0.012182532691324877
Missouri,0.019014381544566285,0.023314386022122734,0.028523016097147698,0.020361990950226245,0.02035974819321003,0.017317786965206486,0.025281463679524656,0.021492969310550235,0.020601195573308397,0.021478368078520185,0.023840897608193325
Mississippi,0.009386558576607007,0.00722536083439865,0.01828579497317142,0.00904977375565611,0.009167393901395444,0.007448011024914448,0.006271466264709221,0.0105843457371839,0.013949717275689912,0.010073068695866832,0.0065142406192168646
Montana,0.0032086179147657974,0.0029149487173705272,0.002682857949731714,0.004666289592760181,0.004727731790183602,0.0006255709883711927,0.0035057291246346203,0.0031093883428086944,0.0021241535344478863,0.003412948132346506,0.0029994044871673536
North Carolina,0.031170135810049765,0.028375867936604852,0.035159559446484044,0.020479826546003017,0.020605454684097708,0.026047908827673775,0.029239942059037956,0.03477861520451309,0.046269072289515295,0.033156689540155763,0.019835382198388766
North Dakota,0.0023205482145583697,0.0017354395666344614,0.0016238350748376165,0.003240478883861237,0.0032365475696238995,0.0005419550641829641,0.0019436758041770565,0.0019316580196637597,0.001605811039644445,0.001989824849278385,0.0022524654085669398
Nebraska,0.005904472565062859,0.0045107552154252046,0.003741880824625812,0.00760039592760181,0.007438975827564879,0.0032331490686115113,0.004412595456914275,0.005789492277387894,0.004632394187792917,0.006035922544359202,0.006591409763789617
New Hampshire,0.004164205646641609,0.002276626118148656,0.0011296243998870376,0.005161199095022624,0.005049692019622629,0.0016847060280887568,0.0020093312852470764,0.0031791896952251247,0.0024463664366229988,0.003623825841522561,0.0012463544859297353
New Jersey,0.028029590946997182,0.02022424550442229,0.024851736797514828,0.011229732277526395,0.010844976149525109,0.0325142069648968,0.015303198379403875,0.01887499223414273,0.018507979147221527,0.019200028094075214,0.017041276756216847
New Mexico,0.006539725931290005,0.010810721738180191,0.0071307540242869245,0.01260840874811463,0.012547976310505223,0.0064601043650609315,0.012032734728603495,0.008999501766960937,0.010801720570200093,0.008449224262676849,0.009158375837030415
Nevada,0.008900016089623458,0.015648443828478555,0.012002259248799774,0.011630373303167421,0.011497369246019979,0.018438859726544958,0.014446941480449029,0.009084408473128915,0.012797455918998479,0.007310312488057436,0.014828123930734141
New York,0.061926621765670466,0.06588946264685322,0.043490539395650944,0.0508578431372549,0.051047641641319356,0.07443675384400984,0.061955521147220104,0.0413098534415234,0.029616735924929062,0.04693087721339826,0.022933796154064556
