,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,281421906.0,1425486.0,15586.0,90178.0,408016.0,911706.0,10182584.0,2050992.0,6971590.0,1160002.0
Alaska,0.0022277299195038497,0.0024931847804889,0.001732323880405492,0.005511322051941716,0.0012009332967334615,0.002785985833152354,0.0022673026807340847,0.0019010313058266438,0.0024152309587913232,0.002025858576105903
Alabama,0.01580225243730671,0.015166757162118743,0.021108687283459514,0.01643416354321453,0.013974942159131015,0.015473189822157582,0.01773017536609568,0.01966414300982159,0.01827402357281481,0.011042222340995963
Arkansas,0.00949961585435357,0.008350836135886287,0.010778904144745284,0.009403623943755683,0.004904219442374809,0.009747659881584634,0.009635569910348887,0.010454940828633168,0.010003456887166343,0.0059758517657728175
Arizona,0.01823110387149464,0.019138034326538458,0.023033491595021174,0.017487635565215463,0.018391435629975295,0.01956880836585478,0.026693715465543912,0.02530580324057822,0.025346441772967142,0.03724476337109764
California,0.12035896025805468,0.14769068233570867,0.1333889387912229,0.10850761826609594,0.14766332692835574,0.15182306576900886,0.10372445736759943,0.10838316287923112,0.09350162588448259,0.15692645357508003
Colorado,0.015284030518931955,0.010078667906945421,0.008597459258308739,0.019672203863470027,0.007435982902631269,0.010337762392701157,0.01541229613229805,0.013229208110026758,0.01618612110006469,0.014621526514609457
Connecticut,0.012101278995672782,0.0077573543338903365,0.006287694084434749,0.0075184634833329635,0.009391788557311478,0.007074649064501056,0.009725723843770894,0.008501252077043693,0.009825305274693434,0.011292221909962223
District of Columbia,0.002032745098386193,0.006051269531935073,0.01533427434877454,0.0027833839739182507,0.008710442727736167,0.0050257429478362545,0.0032408276720329535,0.002313514630968819,0.00310617807415525,0.005689645362680409
Delaware,0.0027844314294424542,0.0037622256549696034,0.0016040035929680483,0.004701811971877841,0.0034165326849927456,0.003860893753030034,0.0029193964911067762,0.0025431596027678314,0.0030638634802103966,0.0027163746269402984
Florida,0.056791520699884676,0.09104052933525829,0.0579366097780059,0.07825633746590077,0.07796017803223403,0.09872480821668389,0.07663840533994122,0.08429969497686973,0.07434430309298166,0.07688003986200023
Georgia,0.029089608255300495,0.028985903754929897,0.04176825356088797,0.021823504624187716,0.032474216697384414,0.027914700572333626,0.034139664352388355,0.033392621716710744,0.03448854565457808,0.03336373557976624
Hawaii,0.004305055769183796,0.0020722757010591475,0.0022456050301552675,0.003836855995919182,0.0027523430453707696,0.0015904249834924856,0.005895654776822858,0.0051999227690795475,0.006204323547426054,0.005270680567792125
Iowa,0.010398351861066565,0.005469011972057249,0.002951366611061209,0.0074962851249750495,0.00262489706286028,0.00658435943165889,0.008527697881009379,0.007967851654223907,0.00934048043559647,0.004632750633188564
Idaho,0.004597911436219184,0.0022918499374950017,0.0010265622994995508,0.0042582448047195545,0.0005465471942276773,0.002900057694037332,0.0037280320987285744,0.003573880346681021,0.004094474861545214,0.001798272761598687
Illinois,0.04413051271140207,0.05696022268896363,0.05761580905941229,0.043536117456585866,0.0628431237990667,0.05564403437072916,0.043729371640833015,0.03990751792303432,0.0449195950995397,0.04333354597664487
Indiana,0.02160629599317688,0.014893166260489405,0.02258437058899012,0.019505866175785667,0.015396455040978784,0.014080196905581405,0.020319498469150855,0.020042984077948623,0.020756671003314884,0.01818100313620149
Kansas,0.009552980570034232,0.007344863436049179,0.010843064288464006,0.011333141120894232,0.0050194110034900595,0.007931284865954595,0.010611942901723178,0.010474931155265354,0.011486188946854305,0.005599990344844233
Kentucky,0.014361955888394843,0.008350134620753904,0.012382907737713332,0.012098294484242277,0.0079800792125799,0.008076068381693221,0.010579141797406239,0.012339394790423366,0.010491293951594973,0.007994813802045168
Louisiana,0.01587998625807047,0.021354120629736104,0.03592968048248428,0.01660050123089889,0.018460060389788636,0.022870311262621942,0.020810434758014272,0.022569078767737758,0.020704745976168993,0.01833617528245641
Massachusetts,0.022560777482617148,0.02120680245193569,0.008020017964840242,0.018807247887511366,0.014251892082663425,0.02478211177726153,0.015899795179691128,0.014919609632802078,0.015122088361478514,0.02230685809162398
Maryland,0.01882044676365741,0.029227224960469624,0.02758886179905043,0.01711060347313092,0.03323399082388926,0.02866055504735079,0.020959512830927788,0.019222893117086755,0.020859373543194594,0.0246318540830102
Maine,0.004530290545328053,0.0009800166399389402,0.000962402155780829,0.0035485373372662957,0.0006053684169248265,0.000893928525204397,0.0031429153935778973,0.00330327958373314,0.003429059941849707,0.0011396532074944698
Michigan,0.0353151044325597,0.03869487318710952,0.04292313614782497,0.055723125374259795,0.03360652523430454,0.039215492713659886,0.03469620284988565,0.034027436479518204,0.032673034415391614,0.04803784821060653
Minnesota,0.01748079625329522,0.009690028523605282,0.00968818170152701,0.02483976136086407,0.009100133328104781,0.008455576688099015,0.015496852272468364,0.0127333504957601,0.016961697403318324,0.011579290380533827
Missouri,0.019881931295000183,0.0192348434148073,0.02226356987039651,0.014981481070771142,0.018621818752205796,0.019878118604023665,0.022186804449636752,0.020324311357625968,0.022884162723281202,0.021288756398695863
