,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,240132887.0,1489169.0,20613.0,91459.0,542775.0,834322.0,11722700.0,3241410.0,7257153.0,1224137.0
Alaska,0.002223768708531789,0.002045436078779507,0.002231601416581769,0.004242338096852142,0.0008659205011284602,0.0025673540911063113,0.002585325906147901,0.0019139818782566845,0.0028770235380182834,0.00263369214393487
Alabama,0.016878154636103634,0.015186993551437076,0.019841847377868337,0.012573940235515368,0.008333103035327714,0.01981728876860493,0.012897284755218508,0.014491841513415458,0.012869509572142133,0.008839696863994799
Arkansas,0.009877864001193639,0.006288742244835878,0.009265997186241692,0.007500628697011776,0.0034821058449633828,0.007908217690531953,0.007142467179062844,0.007536535026423686,0.007534221753351486,0.0037765380835641763
Arizona,0.013813185030336973,0.014662539980351458,0.01489351380196963,0.015580752030964694,0.010343144028372714,0.017366196744182702,0.018853591749341023,0.019521751336609685,0.01982113371455721,0.011348402997376928
California,0.11235862083313894,0.16678429379069803,0.14738271964294378,0.13250746236018326,0.17044263276680024,0.16864112417028437,0.13446552415399182,0.14120336520218052,0.1258074619620118,0.16795260661184164
Colorado,0.013604966986466956,0.011486271873776583,0.011158007082908844,0.015110596004767163,0.008716318916678182,0.012899096511898285,0.018137971627696692,0.01805726520248904,0.019045898577582696,0.01296913662441377
Connecticut,0.013280146838029729,0.009117836860692103,0.0071799349924804735,0.008309734416514504,0.011291971811524111,0.007839898744129964,0.011977701382787241,0.011781909724471757,0.012120868886187186,0.011647389140267797
District of Columbia,0.0026068899092526214,0.006327690141280136,0.009411536409062242,0.0035863064323904703,0.008696052692183686,0.005011254647486222,0.0036494152371040803,0.003336510962821735,0.0035635186415389065,0.0049871868916632695
Delaware,0.0026360404353944237,0.0018151062773936336,0.001503905302479018,0.003936189986770028,0.0014481138593339781,0.0018290300387620128,0.0023783769950608646,0.002035533918880981,0.002695547413703418,0.0014058883932108906
Florida,0.04861891324364913,0.08126209986912164,0.06651142482899142,0.06726511332947004,0.0788945695730275,0.08470111060238134,0.07162607590401529,0.08000561484045524,0.07034383869266639,0.057039367325715996
Georgia,0.02541925879565176,0.024086587888950146,0.03327996895163247,0.029280879957139263,0.024054166090921654,0.02331114365916277,0.025346549856261783,0.027363091987746075,0.025102268065727705,0.021455114909524016
Hawaii,0.0044225512517991755,0.00174862624725602,0.0024741667879493523,0.0035972402934648312,0.0020800515867532587,0.0013124429177224142,0.004915761727247136,0.004386362724863563,0.005501055303643178,0.002847720475731066
Iowa,0.011872592861468408,0.0045011681011356,0.0024741667879493523,0.0038924545424725834,0.0022053337018101424,0.006111549257960356,0.009522806179463775,0.008408377835571556,0.011004866508946415,0.0036874957623207207
Idaho,0.004176853960032555,0.0014988224976480171,0.0015524183767525348,0.002197706075946599,0.0003942701856201925,0.002139461742588593,0.00340911223523591,0.0031051301748313232,0.0038694237258054226,0.0014851278900972686
Illinois,0.04802757399905828,0.06275580541899542,0.0496288749818076,0.05209984801933107,0.0692423195615126,0.060028382327207,0.0467734395659703,0.04205145291709472,0.04677013148269025,0.05929646763393313
Indiana,0.022920642269211547,0.01137345727717942,0.015960801435987,0.015569818169890334,0.009127170558702961,0.01226145301214639,0.016654269067706246,0.01505579362067742,0.017693439837908886,0.014726292890419945
Kansas,0.010248492119282271,0.006094674278070521,0.005239412021539805,0.008856427470232563,0.003607387960020266,0.007431183643725085,0.0093499791003779,0.00901737206956232,0.010200832199624288,0.005186510986923849
Kentucky,0.015524737350948519,0.008371783189147773,0.012031242419832144,0.009403120523950623,0.005667173322279029,0.009927821632415302,0.008770163870098185,0.009478899614673861,0.00894042057539644,0.005884145320335877
Louisiana,0.018743788309178992,0.022917479480166456,0.02789501770727211,0.019746553100296306,0.018554649716733453,0.025980376880868537,0.020425669854214474,0.0202846909215434,0.021195364077345482,0.016235927841409908
Massachusetts,0.024286552636998863,0.021808135946961023,0.010090719448891476,0.018926513519719218,0.020706554281239926,0.02313015838009785,0.020728074590324753,0.019267849485254875,0.017592022656818727,0.04318634270510572
Maryland,0.01858554259583778,0.024964930105313768,0.0194537427836802,0.021255425928558152,0.024999309105983143,0.025485364163955884,0.018155459066597286,0.01715086952900127,0.018313517711422096,0.019878493992094022
Maine,0.004888959670068015,0.0011590356769446584,0.0011158007082908844,0.001902491826938847,0.000604301966744968,0.001439492186469972,0.00331911590333285,0.0029101532974847365,0.003795978946564858,0.0015749871133704807
Michigan,0.038083080223826234,0.04936780177400953,0.050065492650269244,0.06742912124558545,0.050757680438487406,0.04646647217740872,0.044369215283168555,0.04258640529892855,0.04256407436910866,0.05979151026396555
Minnesota,0.017548616737365092,0.008052141832122479,0.005093872798719255,0.014629506117495271,0.00792040900925798,0.007489913966070654,0.014658056591058373,0.013055738089288303,0.016173146687137503,0.0099188244453031
Missouri,0.021096652204910193,0.019682118013469255,0.022510066462911756,0.01618211439005456,0.01588872000368477,0.0224637490081767,0.017612239501138816,0.017756470178101506,0.01745505434431381,0.01816218282757567
Montana,0.0034106115585908897,0.0008655834227008486,0.001164313782564401,0.001552608272559289,0.0002947814471926673,0.0011542306207914929,0.0030191850000426523,0.002002523593127682,0.0037400341428656665,0.001437747572371393
North Carolina,0.02636456871482164,0.02023141765642449,0.024984233250861108,0.018292349577406268,0.0102270738335406,0.026834962999896923,0.020824639374888036,0.0239269330322298,0.021134734240824193,0.010771670164368858
North Dakota,0.0028276010357548404,0.00023368737866555106,0.000339591519914617,0.000863775024874534,8.659205011284603e-05,0.0002576942715162731,0.0014794373309903008,0.0008067476807932351,0.00191728078490284,0.0006649582522217693
Nebraska,0.0066546486820857655,0.0028176788531053226,0.0024256537136758357,0.004297007402223947,0.0015052277647275574,0.0035190250287059433,0.004898018374606533,0.003688518268284481,0.0058954248311975785,0.0021876636356878356
New Hampshire,0.004276798621090163,0.0009622816483555594,0.0011158007082908844,0.0024163832974338226,0.0004458569388789093,0.001135053372678654,0.002795175172955036,0.002392168840103535,0.003124503507091555,0.0019099169455706346
New Jersey,0.0317324298857907,0.029293518734273948,0.019356716635133168,0.02767360237920817,0.037719128552346735,0.024235247302600196,0.03034829860015184,0.02517268719477018,0.029636001886690275,0.04827564235048855
New Mexico,0.006159089737675123,0.0072060323576437595,0.008247222626497842,0.007577165724532304,0.0035300078301321912,0.009531092312080948,0.007444189478533102,0.008417016051656533,0.007565776827359158,0.0041474116050736155
Nevada,0.004010279524936541,0.004648901501441408,0.005870081987095523,0.0068336631714757436,0.005090507116208374,0.004091945316077006,0.004576334803415596,0.004765210201733197,0.004630052583981625,0.0037577493368797774
New York,0.07400902151315909,0.11765622303445747,0.09251443263959637,0.05920685771766584,0.16832020634701303,0.09172477772370859,0.0724941353101248,0.06694925973573229,0.07159419127583502,0.09251170416383134
Ohio,0.0447752081538086,0.030392789535640348,0.028865279192742444,0.04538645731967329,0.02815715535903459,0.030241321695939936,0.036116850213687976,0.03276722167205012,0.038138785278469395,0.0329995743940425
Oklahoma,0.013763212699808168,0.009685267420957594,0.013050016979575996,0.01314250101138215,0.006487034222283635,0.011303789184511496,0.01572521688689466,0.018218614738647686,0.014307539058360765,0.017527449950454892
Oregon,0.011235445647226155,0.00995857421152334,0.008635327220685975,0.01507779442154408,0.010234443369720419,0.009250625058430677,0.015031264128571063,0.01637003649646296,0.015476041362225655,0.008849499688351876
Pennsylvania,0.049510086471412806,0.02862603237107407,0.03197011594624751,0.032626641445893785,0.033319515452996176,0.025051478925402902,0.027822003463365948,0.02695185120055778,0.02709836763810822,0.03441608251364022
Rhode Island,0.004060251855465345,0.0021965270563649927,0.0016494445252995683,0.0022851769645414887,0.0021316383400119755,0.002242539451195102,0.003798442338369147,0.0038921333617160433,0.0034505266734764996,0.005612933846456728
South Carolina,0.014067211043858396,0.015303165725313917,0.014117304613593364,0.015252736198733859,0.006192252775090968,0.021265171001124267,0.012859836044597235,0.013967995409405166,0.013246516919238165,0.007633132566044487
South Dakota,0.0029483675011994503,0.000592948147591039,0.001358366079658468,0.0013667326342951486,0.00021187416516972964,0.0007371254743372463,0.00156499782473321,0.0012090417441792307,0.001891650899464294,0.0005710145187997748
Tennessee,0.0200014252941539,0.017405009102392004,0.024305050211031874,0.024666790583758844,0.018383308000552715,0.015802052444979276,0.016366622023936465,0.01963620769973561,0.01406929135984869,0.021328495094911762
Texas,0.06946986815679271,0.0738163364937089,0.10954252170960074,0.09410774226702676,0.07373405186311087,0.0707628469583686,0.0960441707115255,0.10543158687114558,0.09163772625435898,0.09731018668662086
Utah,0.006933660860871589,0.002982200139809518,0.0025711929364963856,0.004603155512306061,0.0017981668278752706,0.003584946819093827,0.0074022196251716755,0.0046994980579439195,0.009345951504674078,0.003035607942575055
Virginia,0.024099156397515847,0.011891195693705683,0.01993887352641537,0.016761609026995705,0.011271705587029616,0.011561483456027769,0.017543569314236482,0.014506341376129524,0.020109125438033344,0.010376289581966725
Vermont,0.0022529192346735913,0.0005419129729399417,0.0005336438170086839,0.0012901956067746204,0.00022108608539450048,0.0006688065279352577,0.0017664872427000605,0.001584187128441018,0.002010843646261833,0.0008005639891613439
Washington,0.01858554259583778,0.013097908968021762,0.010818415562994227,0.026044457079128353,0.011111418175118603,0.013027344358652894,0.024528052411133955,0.02563020413955655,0.026238939705418917,0.011466853791691616
Wisconsin,0.019926466798360694,0.008285829210788031,0.0072284480667539905,0.010507440492461103,0.006417023628575377,0.009284185242628145,0.015669768909892773,0.011557933121697039,0.018475978114282556,0.00992127515139237
West Virginia,0.007991408523731279,0.002119302778932411,0.005530490467180905,0.00395805770891875,0.0014499562433789323,0.0022689081673502557,0.0035231644586997874,0.0037017841001292648,0.003590250887641476,0.002652480890619269
Wyoming,0.0021113309648419796,0.0009978719675201404,0.0013098530053849513,0.001213658579254092,0.00021003178112477547,0.0014790452607027023,0.0017577008709597618,0.001278455980576354,0.0021504300653438064,0.0006984512354417847
