,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.0022286926123762374,0.005093101870066886,0.004200913242009132,0.007781711547401924,0.0030822275624281686,0.00530941983628477,0.003074645265726369,0.0031878077759963353,0.0029716308933217146,0.0036252311656288744
Alabama,0.014937826362853934,0.020110646293188587,0.021796042617960427,0.014790973786789686,0.014705882352941176,0.022746480073844774,0.018934322233046676,0.02333282037333944,0.01818231508017151,0.01742244263282933
Arkansas,0.009193908071819858,0.01416641909090179,0.014733637747336378,0.01667203089797232,0.005809961640073436,0.016455548221953234,0.01245365615520331,0.016189554225836005,0.011941379006609392,0.010278645490625238
Arizona,0.022175016992088428,0.026610513806698197,0.022222222222222223,0.026191753388406108,0.02391898144693046,0.02764795136766271,0.025649189241716008,0.025676928252404946,0.02571481151751756,0.025143894110557775
California,0.1203761894328612,0.13997880216153716,0.10289193302891933,0.10584701212316275,0.19516172365926832,0.12852327498654378,0.13299984968978484,0.13649060209573982,0.12323833447107566,0.1963706130477846
Colorado,0.0175443101652326,0.017615082583245678,0.013272450532724505,0.0276937381539892,0.013668522471155424,0.01727388082057327,0.02154143197841886,0.0179512139257902,0.021040106203264745,0.030632302929136913
Connecticut,0.010861845543201085,0.005256100400671265,0.006331811263318113,0.005514429782212209,0.007198083496275953,0.004556846107196699,0.007343975181054502,0.0057627476523133304,0.007561202147973613,0.008261703733974248
District of Columbia,0.0021501036607343596,0.005944227202286797,0.010106544901065448,0.002467546400600794,0.010123587623326418,0.005089005847668361,0.004450250856342275,0.0016489277943197436,0.005238792189530044,0.0032318167021062913
Delaware,0.002966626295030291,0.0033041327755518263,0.0029223744292237444,0.0022172156063369453,0.0029478931892472798,0.0036130845537286497,0.003166621833504508,0.0026554626660558866,0.003413030347834567,0.002221960561585294
Florida,0.06543312275042515,0.06525561863161529,0.06831050228310502,0.060479919894145834,0.06051390360762422,0.0675550608756646,0.06654165361740087,0.056720253092075124,0.07046701438588654,0.05409171820996419
Georgia,0.032346570891159866,0.029042644590937923,0.03981735159817352,0.020899045166827595,0.02970655402480708,0.029997004318165765,0.03642228766949426,0.03534592590471828,0.03715364397368827,0.03293599396025683
Hawaii,0.004313532956236961,0.00324551754040838,0.0029223744292237444,0.0054715159317669775,0.004220338224099587,0.002554853857001249,0.005808529621003117,0.004777685524507558,0.00582647279956965,0.00727816757516779
Iowa,0.00961209659081792,0.006752796267895713,0.0036529680365296802,0.008325286986374853,0.003220293445975193,0.007699876519456101,0.007898000440967721,0.01047690964269354,0.007441267329598183,0.00712301820927156
Idaho,0.005444393117766016,0.0032117937064902323,0.00213089802130898,0.005786217501698674,0.0005783841067510486,0.0036544882863969253,0.0031466959836561827,0.003513477725606963,0.003203832566274801,0.0021762469091337264
Illinois,0.038605408892213144,0.04140082382508571,0.0506544901065449,0.043471730501019205,0.04650954520351658,0.03919593951158209,0.033785000368917004,0.030807124656436098,0.0355431749616995,0.026008297720551056
Indiana,0.020510080378102428,0.020046410419058785,0.02295281582952816,0.017701963308657868,0.019892681761869934,0.02043761309916681,0.019159715360678817,0.01949993558176821,0.019106206410575026,0.019009953108874683
Kansas,0.008875573463467408,0.009609686769818774,0.006392694063926941,0.010127668705074562,0.0048248429034135855,0.011147346142511647,0.00973594350415129,0.008932661475034357,0.009863164202956453,0.010083323521059449
Kentucky,0.013611014783250218,0.007789402686665435,0.013455098934550989,0.011243428816650573,0.008063793901219458,0.0069984485777817825,0.012239814244874544,0.013816816021530004,0.011625812804162564,0.014124133345338939
Louisiana,0.014162810003839787,0.020504893970660264,0.03312024353120244,0.016257197010335084,0.015019329223696583,0.022765964183335728,0.02122435106344116,0.02408347171323866,0.021501560332325618,0.014844469687000006
Massachusetts,0.020998394516921107,0.018128969576284116,0.009254185692541857,0.015763687730214925,0.013481946952848635,0.020225723408452693,0.011741379218233828,0.011041463868529547,0.012356038895058213,0.008494427782818594
Maryland,0.0184185010529643,0.022045752001348954,0.03299847792998478,0.013682365983621214,0.03434108989954774,0.01923812260863,0.017023750891068123,0.015086392006413193,0.01765204589138703,0.015596667059157621
Maine,0.0040952167725396066,0.0012429641644117197,0.0012176560121765602,0.003690591138289883,0.0007015239488335299,0.0010034316387840941,0.0024175253913805107,0.002102539509848832,0.002687129774978687,0.0010057003539344909
Michigan,0.03042551642996386,0.03507760496543307,0.03385083713850837,0.051746951328541284,0.019963580458826513,0.037196382775073006,0.022856393678192036,0.025563301649106734,0.02201688682242726,0.02458009239698844
Minnesota,0.017181453191424483,0.010704908423731944,0.007123287671232876,0.01750885098165433,0.011750526142961626,0.009276871631380133,0.016927731397233803,0.014249849690792488,0.017713389601769214,0.015538486046946536
Missouri,0.01869801644818988,0.024393573200793314,0.03458143074581431,0.0208632836247899,0.018504559905667416,0.026712714112096952,0.023383417967658613,0.02363254409070087,0.022504490674183107,0.029190244983619273
Mississippi,0.009067003792836977,0.0066419893850218,0.020213089802130896,0.005342774380431284,0.006343567622430855,0.006689138339612899,0.010209399023373455,0.01669505840586349,0.009103249329151474,0.007961101837550302
Montana,0.0032560917412739476,0.003475160790422431,0.0016438356164383563,0.004463040446304045,0.0007649596250578384,0.004228051759536863,0.003384506669889456,0.002582992155290884,0.0035736643586751016,0.0032927682387083814
North Carolina,0.03195253241944298,0.03131097389614665,0.0384779299847793,0.023223545399277616,0.028355747272265922,0.033509015053910095,0.0356984595152214,0.04871360369903802,0.03435405072967557,0.02501922051296259
North Dakota,0.0023216643536250812,0.0017415951373443285,0.0014611872146118722,0.003125558774094339,0.0006679403555383077,0.0018619502132292231,0.0021753829986584706,0.002333371507100321,0.002097089791462843,0.00248238985433968
Nebraska,0.005893281778867318,0.00467396279136991,0.0027397260273972603,0.008961842434645782,0.0029553562099795512,0.004543450781921669,0.005696049642511483,0.004245340414567109,0.0058431850283596695,0.006905532044577737
New Hampshire,0.004142435339817381,0.0016653150368151853,0.002009132420091324,0.0042198619604477345,0.0011679627446005046,0.0013858072875440523,0.0023740639362765546,0.0015361958886852955,0.002719571160276959,0.001237039140583334
New Jersey,0.027060086850053094,0.014754177339189503,0.015951293759512937,0.010950184171941494,0.02138155439795812,0.013215097262239066,0.01713002209025919,0.014672146988089784,0.018069261767768442,0.014318070052709226
New Mexico,0.006388106407283562,0.014011450044563637,0.011019786910197869,0.009212173228909631,0.0087354657671239,0.016610203341037674,0.009424205027176405,0.013071532867613376,0.008199216058839628,0.012407793485111895
Nevada,0.00938386691477126,0.012212845568929107,0.008706240487062405,0.01545613846869077,0.01226174306312223,0.011714820831435662,0.010327510220300484,0.01387676076500229,0.008799479994085837,0.015598052321353124
New York,0.05926635775668002,0.05601689403489614,0.03397260273972603,0.047083646246826164,0.06742092929534159,0.05425715614808897,0.03857456823354598,0.024693655519926708,0.04460218603817152,0.01759837093165809
Ohio,0.035611494597498544,0.02751623963192844,0.032754946727549465,0.04098987948360333,0.03300894069883726,0.02332491457435745,0.03469566946307199,0.03927185925332112,0.034943304255366,0.025865615714414345
Oklahoma,0.012055132678218033,0.013719176817273027,0.01619482496194825,0.016221435468297393,0.008839948057375703,0.014835931620517741,0.016256461281691306,0.02377837980989464,0.014280501193842979,0.018532037651426473
Oregon,0.012849570830018541,0.009631366377337584,0.007062404870624049,0.012716804348603512,0.008492917593325074,0.009528947297919341,0.01662942121037409,0.01317352840128264,0.016763545163127083,0.021035206438698686
Pennsylvania,0.03900197295863119,0.031498060879549705,0.04073059360730594,0.03111969388120016,0.03635610549726107,0.029792421168510757,0.02594186821014032,0.020894769239578562,0.02829694917280366,0.017163398602270445
Rhode Island,0.0032274023259532946,0.001880505215150031,0.0015220700152207,0.00351178342810142,0.0015597713330447632,0.0017146016352038891,0.0023476405266950797,0.0020765932775996337,0.002473409860922798,0.0018811860614917888
South Carolina,0.01568584414497824,0.021136011433985594,0.028249619482496196,0.01759467868254479,0.012291595146051316,0.024483001332225987,0.021859090454261727,0.024569292544663307,0.021421734863046233,0.020744301377643253
South Dakota,0.002695162946602259,0.0028344079459776297,0.0010350076103500762,0.004591781997639738,0.0007276445213964804,0.0032587173123619366,0.0022621615186500903,0.002367370018323408,0.0022148618508183882,0.002432520415301606
Tennessee,0.02080545918902033,0.032637444696927115,0.030319634703196346,0.020119443550405895,0.02294878875173515,0.03797696491155432,0.026156720851983135,0.026723724519010537,0.025973556142078327,0.02656932890972939
Texas,0.08833756744156614,0.09753735717554861,0.08578386605783866,0.10602581983335121,0.10816902249354449,0.0928576125633538,0.10009187549462674,0.10190785329821347,0.09866369018595009,0.10734258226725864
Utah,0.009767129718866913,0.006064669466280181,0.004383561643835616,0.013031505918535207,0.004197949161902772,0.005521309526998887,0.010041761982258196,0.007936862975263399,0.010604793932320585,0.009333896673292838
Virginia,0.026003934328164374,0.014254743417830272,0.025936073059360732,0.02014090047562851,0.01314984253026255,0.013379494436068983,0.020245385396979964,0.0124362975263399,0.022815927973046518,0.01422525748561059
Vermont,0.0019010172641519467,0.0010133209143976683,0.0006697108066971081,0.001988341737295712,0.0002649372359956416,0.0010984166725524914,0.001283340242405183,0.001140739521300962,0.0014382347482233917,0.00041280813425961197
Washington,0.023199195911578267,0.01796757694253298,0.012054794520547946,0.02383149161391839,0.019206083854500948,0.01668326875162875,0.029487947532060764,0.030902857306459003,0.028564541447900316,0.033803168094641116
Wisconsin,0.01773836967219819,0.013706329642447066,0.0106544901065449,0.016171369309444624,0.01116094750511217,0.014178342925198067,0.012370198610186412,0.011333135306917087,0.012901840625894596,0.010230161313782666
West Virginia,0.005459875713991944,0.004555929372656395,0.004748858447488584,0.005392840539284054,0.0014105109183993312,0.0054360665479759665,0.004097216777507816,0.005270663937242327,0.003945265681182581,0.0033509492509194677
Wyoming,0.001763221548430047,0.0010101091206911781,0.0007914764079147641,0.002317347924042485,0.0002500111945310984,0.0010399643440796315,0.0013129402367450865,0.0012489979386165826,0.0013731553631704946,0.0009876919453929642
TOTAL,328239523.0,1245410.0,16425.0,139815.0,267988.0,821182.0,6925677.0,1117696.0,5086096.0,721885.0
