,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,316497531.0,1168298.0,14319.0,82109.0,113695.0,345093.0,726777.0,8651892.0,1932139.0,6019465.0,700288.0
Alaska,0.002329430494040726,0.00403064971437082,0.0023744674907465605,0.008001558903408883,0.008135801926206077,0.0018053104525446763,0.004302557730913334,0.002451602493419936,0.0015097257495449343,0.0027575540351177387,0.0024204327362456588
Alabama,0.015273408246587555,0.017832778965640617,0.024163698582303234,0.017647273745874388,0.01807467346849026,0.013460139730449473,0.01897143140192934,0.01870515720723282,0.02194976655406262,0.01808499592571765,0.015083794096143301
Arkansas,0.009348461552453627,0.011730739931079228,0.011034290104057546,0.013823088820957508,0.013105237697348168,0.006551857035639668,0.01347868741030605,0.012306787925693017,0.01571781326291742,0.011700375365584815,0.00810809267044416
Arizona,0.020963819145875105,0.02360356689817153,0.024792234094559676,0.02854741867517568,0.027916794933814153,0.019287554369401872,0.023928935560701563,0.025808690168578157,0.0249940609862955,0.0262541604611041,0.024227175105099617
California,0.12142714945855296,0.13244822810618523,0.12193588937774984,0.09090355503050823,0.09080434495800167,0.1554363606332206,0.1224983729534644,0.11776695779374037,0.12010419540209064,0.10325784766586399,0.23603431730944982
Colorado,0.016657589660628348,0.013779874655267749,0.012151686570291222,0.026769294474418153,0.02606095254848498,0.009087405424045113,0.013519965546515644,0.016178426637780498,0.0129778447616864,0.01700732540184219,0.017884070553829283
Connecticut,0.011372414150049089,0.008079274294743293,0.006355192401704029,0.007879769574589874,0.007836756233783368,0.01028997980254598,0.00675035120814225,0.008237966909434376,0.006694135359826596,0.008655088118296227,0.008912047614695669
District of Columbia,0.0020509196326084452,0.0072027855906626565,0.007193239751379287,0.0036171430659245637,0.0034742073090285415,0.011828695453109741,0.005276721745459749,0.003594242739044824,0.0017162326312961955,0.004077937158867109,0.004618099981721806
Delaware,0.002923371936193714,0.003965597818364835,0.0028633284447237934,0.003385743341168447,0.003509389155195919,0.0035729499004616147,0.004072776106013262,0.0033519835892542346,0.0032601174139127672,0.00354632845277778,0.0019349182050813379
Florida,0.06192879589951683,0.07874104038524418,0.0678818353236958,0.05803261518225773,0.05951888825366111,0.06722825441257864,0.08400651093801813,0.07017771373012978,0.07189700119918908,0.07199045097861687,0.04985234646316944
