,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,309330219.0,1251248.0,14722.0,85593.0,369089.0,781844.0,9112625.0,2168459.0,6204601.0,739565.0
Alaska,0.0023086848815116897,0.0036259798217459687,0.0021056921613911155,0.006227144743144884,0.0016093679302282104,0.004321834023155514,0.002223179380255415,0.001431892417610847,0.0025037871089535007,0.002189124688161284
Alabama,0.015470202088467794,0.014675747733462911,0.01867952723814699,0.015830733821691027,0.013178393287255919,0.015180777751060314,0.018526824049052825,0.019591793065951442,0.018625532890833754,0.014576135971821273
Arkansas,0.009444883883135906,0.01175706174954925,0.00910202418149708,0.015433505076349701,0.006418506105573453,0.013924772716807957,0.011392985007064375,0.014970538986441524,0.010604388581957164,0.0075192849850925884
Arizona,0.020732400541830023,0.02120123268928302,0.02771362586605081,0.025597887677730656,0.018838274779253785,0.021712771345690444,0.024888766957929246,0.02348764721860086,0.02484237100822438,0.02938619323521259
California,0.12070659672600562,0.13117543444624888,0.12287732645021057,0.09733272580701693,0.157457957294853,0.12262932247353692,0.10775588812224798,0.10553900258201793,0.09679236424711275,0.2062347461007484
Colorado,0.016318134116731737,0.013058162730330038,0.00876239641353077,0.02605353241503394,0.008572458133404138,0.013833961762192969,0.014814721334412423,0.012080468203456925,0.015719624839695575,0.015240039753098105
Connecticut,0.011558838355847801,0.008058354538828433,0.009034098627903817,0.006951503043473181,0.009626404471550222,0.007420917727833174,0.008587975473587467,0.006984222436301539,0.009092123732049812,0.009060731646305598
District of Columbia,0.001955554171058858,0.0064143958671662215,0.008966173074310555,0.0021847580993772857,0.011718040906122914,0.00432567110574488,0.003160669949657755,0.0019520774891293772,0.0031450853971109506,0.006835099010905059
Delaware,0.0029088396306989972,0.004481925245834559,0.003464203233256351,0.00380872267591976,0.004982538087019662,0.004338461381042766,0.003410433327389199,0.003481735186139097,0.003480159320478464,0.0026164028854799783
Florida,0.06090130172506683,0.0814938365535849,0.06704252139654938,0.06277382496232169,0.07067672024904563,0.08892183095348945,0.07341847162590362,0.07799040701253747,0.07388936049231852,0.056062685497556
Georgia,0.03139737537249796,0.031223226730432336,0.03769868224426029,0.024616499012769737,0.033520370425561316,0.03074014765093804,0.038786738179174496,0.04470778557491749,0.03645053082381929,0.04102546767356487
Hawaii,0.004407454934107166,0.0028795250821579735,0.0016981388398315447,0.004404565793931747,0.0028854829052071453,0.002732002803628345,0.005011399020589567,0.004014832653049931,0.0051060495267947125,0.007139331904565522
Iowa,0.00986066608642591,0.006546264209812923,0.0025811710365439477,0.010316264180482048,0.002741886103351766,0.008004154281416754,0.007543380749235265,0.007722534758554347,0.007767461598255875,0.0051381555373767014
Idaho,0.00507904466973529,0.0027684359935040855,0.0014943621790517593,0.006227144743144884,0.000577096581041429,0.003448258220309934,0.003449719482585973,0.003003515399645555,0.00380266192781776,0.0017970022918877989
Illinois,0.04151543952451668,0.04566001304297789,0.047819589729656296,0.03582068627107357,0.05523329061554259,0.04217721182230726,0.03830553764694586,0.0357267534225918,0.03911307109030863,0.03909189861607837
Indiana,0.02098282547687331,0.0167696571742772,0.01820404836299416,0.020562429170609745,0.017770781573008137,0.01585482525925888,0.02186790304659744,0.022398394435864364,0.02211326723507281,0.018253973619627755
Kansas,0.009243012238645846,0.00847314041660806,0.0065887786985463935,0.013388945357681118,0.0041670166274259055,0.010003274310476259,0.009778631294495275,0.008907247035798233,0.010278501389533347,0.008139920088159933
Kentucky,0.014053664120025726,0.008474738820761352,0.012770004075533215,0.016800439288259555,0.01015473232743322,0.006689313980794123,0.012199558305098696,0.014039001890282454,0.012005284465511964,0.008436040104656116
Louisiana,0.014694144706243525,0.02017265961663875,0.03396277679663089,0.014370334022642038,0.014351552064678167,0.02329620742756867,0.01817994266196623,0.020953589622861212,0.0177706834009149,0.013480897554643607
Massachusetts,0.021192452587375565,0.024565074229888878,0.014536068468958023,0.020842825932027152,0.018686549856538667,0.027936519305641536,0.01695406098681774,0.01747923294837486,0.016942910591672213,0.015507764699519313
Maryland,0.018703898438063693,0.025260380036571488,0.02893628583072952,0.014346967625857255,0.029949415994516226,0.02417234128547383,0.019018559416194566,0.016926305731397272,0.019111301435821577,0.02437513944007626
Maine,0.004291139107880048,0.0012955065662442616,0.0016302132862382828,0.004544764174640449,0.0011162619314040788,0.0010181059137116867,0.003610375715010768,0.0033959599881759352,0.0039562576223676595,0.0013372725859119889
Michigan,0.031930740656152964,0.03891554671815659,0.039396821084091836,0.055296577991190865,0.031217402848635424,0.04074725904400366,0.029793939726478376,0.034284715551458435,0.02735840709176948,0.03705962288642648
Minnesota,0.01716824827903413,0.010002013989233149,0.006520853144953131,0.02100639070952064,0.009179357824264609,0.009251206122960591,0.014971646479472162,0.011259147625110735,0.016669726224135928,0.011610879368277299
Missouri,0.019382894498257863,0.02193010498318479,0.02852873250916995,0.016882221677006298,0.016757475839160745,0.024800343802600006,0.02204172782266361,0.020381754969773465,0.022648676361300267,0.021816878840940284
Mississippi,0.009601622530128555,0.006392817411096761,0.013856812933025405,0.01087705770331686,0.00752393054249788,0.0052273855142458085,0.00972233577042839,0.01404361346006542,0.008507235195301036,0.007246151453895195
Montana,0.003203560270327161,0.0021842192754753654,0.0016981388398315447,0.003878821866274111,0.0004172435374665731,0.0028419991711901606,0.00278832937819783,0.0017025915638709333,0.0032501687054493915,0.002097178746966122
North Carolina,0.030906240039871438,0.027715528816030077,0.03219671240320609,0.023389763181568587,0.026064174223561255,0.02888427870521485,0.036125924198570664,0.047418927450323015,0.033532696139526134,0.02476996612873784
North Dakota,0.0021809346729231133,0.0012371648146490544,0.0006792555359326179,0.002862383606136016,0.0002438436257921531,0.0015386701183356271,0.0013179517427744476,0.0009223139565931383,0.0014726168532029698,0.0011804236274025948
Nebraska,0.005916463661120674,0.004070336176361521,0.0036679798940361364,0.007874475716472141,0.0027635610923110684,0.004278347087142704,0.005358170669812486,0.003835903745470862,0.005946554822783931,0.004885304199090006
New Hampshire,0.0042569620396512246,0.001761441376929274,0.0008830321967124032,0.004801794539273071,0.0012192181289607655,0.001701106614618773,0.0032076377553119984,0.0025105385898465224,0.0036729194995778133,0.0013480897554643608
New Jersey,0.028447246533000386,0.021622412183675818,0.025200380383100122,0.011461217622936455,0.032019377440129615,0.017759297251114033,0.02008663804337389,0.017861532083382717,0.02075137466534915,0.021033986194587358
New Mexico,0.006678665300398601,0.009707907625027172,0.00950957750305665,0.011204187258303834,0.0043783477697791045,0.012063787660965615,0.007766807039683955,0.009694903154728773,0.007172580476971847,0.007098767518744126
Nevada,0.008742382198358706,0.014328894032198253,0.010732237467735361,0.011274286448658185,0.01435426143829808,0.014719048812806647,0.008230778727315126,0.01027734441831734,0.006855074161900177,0.013771608986363605
New York,0.06270065065967577,0.061132565246857534,0.05895938051895123,0.03267790590352015,0.07756936673810381,0.05652917973406459,0.0416685642172261,0.030362114294067814,0.047260412071622335,0.02790694529892572
Ohio,0.037299841047860896,0.029015830594734216,0.03253634017117239,0.04357833000362179,0.044666733497882624,0.019966898767529072,0.04135317759701513,0.04940144130001997,0.040063978328340535,0.028570849080202552
Oklahoma,0.012155889625513762,0.014465557587304835,0.013245482950686048,0.017162618438423705,0.009062854758608357,0.016743749392461923,0.014207102783226568,0.01745386931456855,0.01310366291079797,0.013944683699201557
Oregon,0.012408525789716006,0.007710701635487129,0.006520853144953131,0.014475482808173566,0.006559393533808919,0.007536030205514144,0.012801689963100644,0.009239280060171762,0.01410147082785823,0.012342390459256454
Pennsylvania,0.04111373935955478,0.03725240719665486,0.044355386496399946,0.04056406481838468,0.0443659930260723,0.03339796685783865,0.03032781443327252,0.025458632143840396,0.03294974165139709,0.022607884364457487
Rhode Island,0.00340260322254516,0.0021650384256358454,0.0019698410542045917,0.0034815931209327866,0.002118730170771819,0.002046444047661682,0.002958423066898945,0.002824125335088189,0.0029706986798989977,0.0032492073042937404
South Carolina,0.014990795322199026,0.022316119586205132,0.01800027170221437,0.018120640706599838,0.01359292745110258,0.026974690603240543,0.019873307636383588,0.021333582972977584,0.019589333786330498,0.017974079357460128
South Dakota,0.0026398908022626784,0.0017550477603161005,0.0015622877326450211,0.004498031381070882,0.0004172435374665731,0.002089930983674493,0.0016666986735435728,0.0014720130747226487,0.0018044673622042739,0.0010817169552372002
Tennessee,0.02055226295236289,0.031096153600245514,0.02438527373998098,0.0253875901066676,0.022653072836091023,0.03583323527455605,0.02555301024677302,0.02964916560562132,0.0247766133551537,0.02005638449629174
Texas,0.08163918184792673,0.09049445034077977,0.08483901643798397,0.08904933814681107,0.08898395779879649,0.09147221184788781,0.10438770387237487,0.10541910176766081,0.10550654264472445,0.0919770405576251
Utah,0.008972543998360534,0.0047352723041315554,0.0036000543404428745,0.01148458401972124,0.003438195123669359,0.0046300796578345555,0.00969160916859851,0.006961164587386711,0.010837441440634137,0.008084482094204025
Virginia,0.025939764391399472,0.013733488485096479,0.02554000815106643,0.018459453459979205,0.015383823413864949,0.012214712909480663,0.020565204866874253,0.014205479559447516,0.0235293131661488,0.014344918972639321
Vermont,0.0020234330872147994,0.0006553457028502743,0.0004754788751528325,0.001647330973327258,0.00020591239511337373,0.0007623004077539765,0.0015538881496824461,0.0015439535633369134,0.0016718238610347385,0.0005935921791864136
Washington,0.021798549206729783,0.016893533496157437,0.010460535253362315,0.030130968653978712,0.016063876192463064,0.015957147461641966,0.02737147638578346,0.025452175946144243,0.027155654328134878,0.0348096516195331
Wisconsin,0.018399944946859523,0.011322295819853459,0.010528460806955577,0.013914689285338754,0.01223553126752626,0.010622323634893918,0.01566848191382834,0.012283377273907416,0.017405309382505015,0.01102269577386707
West Virginia,0.005994784492749478,0.004464342800148332,0.0039396821084091834,0.004229317818045868,0.0021024739290523425,0.00561493085577174,0.004532283507770812,0.004970349912080422,0.004529541867398081,0.0032708416433984843
Wyoming,0.0018250851850979358,0.0008927087196143371,0.0005434044287460942,0.001892678139567488,0.00020862176873328656,0.0011127539509160394,0.0015219544313521077,0.0009919486603159203,0.0017931854119225394,0.0008004705468755282
