,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,257782608.0,1926017.0,24526.0,106014.0,659870.0,1135607.0,12218777.0,2834808.0,7820909.0,1563060.0
Alaska,0.0023236633559080137,0.0023660227298097575,0.0022017450868466117,0.004735223649706643,0.0011108248594420113,0.0028777561251383623,0.0023566188334560815,0.0017260428219477298,0.0027108102140045356,0.0017280206773892237
Alabama,0.016242368065420457,0.016965582339096695,0.019734159667291855,0.013875525873941178,0.010118659736008609,0.021172817708943324,0.014043795054120392,0.016077984822958028,0.014304986798849085,0.009047637326782081
Arkansas,0.009403272077998372,0.007466704603334239,0.010070945119465057,0.009696832493821571,0.004587267188991771,0.008875429616055554,0.008366712969718654,0.009399578384144534,0.008664849571833657,0.005001727380906683
Arizona,0.015268679413779537,0.014611501352272592,0.013822066378537062,0.014035882053313714,0.009717065482595056,0.017526309718062676,0.021636453468297196,0.020348468044396658,0.022080425689648096,0.02175092446867043
California,0.12107488647954093,0.17465110640248763,0.1670064421430319,0.11098534155866206,0.1916074378286632,0.17090683660808711,0.1374019674800514,0.14610583856120063,0.12088198443429019,0.20427558762939363
Colorado,0.013833361481081765,0.010503022558990912,0.008399249775748185,0.015403625936197107,0.006304272053586312,0.01253074347023222,0.014474116353870768,0.01270315308832203,0.015955562198716286,0.010273437999820865
Connecticut,0.012712261798515126,0.007761613734458211,0.008399249775748185,0.007546173146942857,0.009770106233045903,0.006600875126694358,0.011248507113273284,0.011306585842850733,0.010980309322100538,0.01248512533108134
District of Columbia,0.0022421993651332755,0.008768354588770504,0.01851096795237707,0.003056200124511857,0.010770303241547577,0.007927918725404123,0.004181351374200544,0.004068705887665055,0.004027025503045746,0.005157831433214336
Delaware,0.002715466359157946,0.0024927090467010415,0.0014270570007339151,0.005084234157752749,0.001980693166835892,0.0025713120824369697,0.0023982760304079535,0.0022026183078360157,0.002666314107477788,0.0014119739485368443
Florida,0.053064091895602204,0.08565604561122774,0.0499062219685232,0.0694153602354406,0.07412520648006425,0.09464453811926132,0.07998861097145811,0.08856437543565561,0.07720125627340761,0.07838214783821479
Georgia,0.026832686866136445,0.025970175756496437,0.032169942102258826,0.02309128982964514,0.02599602952096625,0.026090011773439226,0.030964473776712676,0.031897398342321595,0.031562699425348124,0.026279221527004723
Hawaii,0.00454646653276159,0.0015892902295254923,0.0018347875723721764,0.0037164902748693567,0.0018397563156379287,0.0012398655520791963,0.005770217428470951,0.004695203343577413,0.006637591614990022,0.003379908640743158
Iowa,0.010916174763814943,0.004755409739374055,0.0026910217728125254,0.0064708434735035,0.00229893766954097,0.0060672398109557265,0.00810883118662367,0.007253401288552876,0.009352877012122248,0.0034355686921807224
Idaho,0.0042632821838779755,0.0016079816533291244,0.0013047378292424367,0.0036598939762672853,0.00028187370239592645,0.00219354054703784,0.0032049852452499953,0.0025927681874751305,0.0038096594654150814,0.0012897777436566735
Illinois,0.04537544286152928,0.05828608989432596,0.05430971214221642,0.0381647706906635,0.067564823374301,0.05485876716152683,0.04459276079758228,0.04190336700051644,0.04612379456147617,0.04180965541949765
Indiana,0.022162084728384778,0.014507140902702312,0.01753241458044524,0.021072688512837928,0.01037325533817267,0.016230967227218573,0.018590158409470932,0.01717118055261591,0.019692851559837864,0.015646232390311314
