,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,320896618.0,1199310.0,15883.0,91261.0,126134.0,328109.0,764057.0,8024115.0,1587564.0,5723488.0,713063.0
Alaska,0.0022988992673023435,0.0044950846736873705,0.0037146634766731727,0.0071005139106518666,0.0071352688410737785,0.002319351191219991,0.004804615362466413,0.0025929339248004298,0.002211564384176008,0.0026642844363437123,0.0028693116877470857
Alabama,0.01512597742616284,0.019141839891270815,0.021910218472580748,0.015877538050207647,0.016149491810296984,0.01405630445979842,0.020888493921265038,0.01804373441806355,0.022213277700930484,0.01732894346943682,0.014498017706710347
Arkansas,0.009279789293385448,0.013148393659687653,0.011899515204936095,0.015614556053516837,0.015919577592084608,0.006452124141672432,0.014992336959153571,0.012137288660494024,0.01439375042517971,0.012006664467541471,0.008161971663092883
Arizona,0.02124536257967044,0.023320075710200033,0.019265881760372725,0.02485179868728153,0.024648389807664865,0.019383802333980477,0.02381105074621396,0.025820168330089984,0.02394234185204502,0.02662502306285957,0.0235406969650648
California,0.12151558418730359,0.1391491774436968,0.11716930050997923,0.10235478462870229,0.1015665879144402,0.16111109417906855,0.1300282570541203,0.12772922621373198,0.12434396345596146,0.11470575285560133,0.23980069082255004
Colorado,0.016979982631041626,0.014464984032485346,0.010892148838380659,0.026539266499380897,0.026384638558992816,0.010103349801437936,0.013784311903431289,0.01795138778544425,0.014796253883308012,0.018263688156592624,0.02246926288420518
Connecticut,0.011170980929440646,0.006618805813342672,0.007303406157526915,0.00641018616933849,0.006326605039085417,0.008914720413033473,0.005364782993938934,0.008176602653376728,0.0064791088737209965,0.008543391721970939,0.009011826444507709
District of Columbia,0.002089074681366695,0.0071190934787502816,0.010199584461373796,0.003999517866339401,0.003916469786100496,0.011416937664007998,0.005413208700398007,0.003918687606047521,0.00187142061674364,0.004404307303518414,0.004578838054982519
Delaware,0.0029419942344172663,0.003968948812233701,0.003903544670402317,0.002816098881230756,0.0028620356129195933,0.003779231901593678,0.004053362510912144,0.003183528650823175,0.0030216104673575364,0.0034166228705292995,0.001673063950871101
Florida,0.06308858636833624,0.07806572112297905,0.0655417742240131,0.05912711892265042,0.05987283365309908,0.06442066508385932,0.08362595984331012,0.07106951981620403,0.06882746144407406,0.07344140496145007,0.05702301199192778
Georgia,0.03178406199344862,0.03242781265894556,0.0391613674998426,0.025673617426940316,0.025821745128197,0.03823424532701023,0.029404874243675536,0.039382910140245996,0.04292677334583047,0.03856302310758754,0.03807377468751008
Hawaii,0.004461259233339754,0.003502847470628945,0.001196247560284581,0.004185796780662057,0.004265305151664104,0.003306827913894468,0.002457931803517277,0.005656573964854691,0.004289590844841531,0.00579017550137259,0.0076276570232924725
Iowa,0.009728980689974114,0.0071866323135803085,0.00459610904740918,0.009609800462410011,0.009553332170548781,0.003200156045704324,0.008233678900919696,0.008061699016028559,0.00943395037932329,0.007919646201756692,0.006146721958648815
Idaho,0.005150655716789137,0.002995889303015901,0.002014732733110873,0.005566452263288809,0.005573437772527629,0.0005821236235519294,0.0034905772736850784,0.003603138788514372,0.0038574822810293003,0.0036544149301964116,0.0026252939782319376
Illinois,0.04000991683869975,0.04148635465392601,0.04747214002392495,0.03946921467001238,0.03905370479014381,0.04588718992773743,0.03798015069556329,0.03202371850353591,0.029508101720623545,0.033620058258181026,0.024811271935298845
Indiana,0.020607160153990778,0.02115633155731212,0.023295347226594473,0.019252473674406374,0.018916390505335594,0.021581242818697444,0.020333561501301604,0.02142018154026955,0.02167093736063554,0.02165462738805428,0.018980090118264445
Kansas,0.00905812288741541,0.009574672103125964,0.007933010136624064,0.013433996997622204,0.013350880809298048,0.005556080448875221,0.010274102586587126,0.009977299677285284,0.009838343525048438,0.01003496469285862,0.009823816408928805
Kentucky,0.013788275574783402,0.008243906913141722,0.013788327142227538,0.01276558442269973,0.01303375774969477,0.010100302033775361,0.006164461551952276,0.01215648080816389,0.014189034268854673,0.0117311331831219,0.011045307357133941
Louisiana,0.01454973264941047,0.021013749572670954,0.030976515771579675,0.013653148661531212,0.013739356557312066,0.016948635971582613,0.022794110910573425,0.01965425470597069,0.022334217707128658,0.01965934059790114,0.013646760524666124
