,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,296507061.0,1390745.0,16740.0,94347.0,417438.0,862220.0,10174754.0,2155448.0,6783447.0,1235859.0
Alaska,0.0022368877077095983,0.003015649885493027,0.0019115890083632018,0.005702354075911264,0.0012864185819211477,0.0035802927327132287,0.002356322324844414,0.001916538928334156,0.0025428075136431374,0.0020997540981616833
Alabama,0.015339692028447174,0.01414925094104239,0.022341696535244922,0.016577103670492966,0.015444209679042158,0.013097585303054904,0.01743462298941085,0.020168892963318995,0.01780510704955755,0.010632280866992107
Arkansas,0.009361355478816068,0.010548303247539987,0.01129032258064516,0.012740203716069404,0.006065571414198037,0.0124643362482893,0.011097467319603009,0.013972965248987682,0.011131508803709972,0.0058954945507537675
Arizona,0.02007711715168901,0.021914872963771218,0.026583034647550775,0.02126193731650185,0.020551554961455352,0.02255572823641298,0.028240977619704614,0.026132850340161305,0.025962021963170052,0.04442658911736695
California,0.12193351105389022,0.1367454134294928,0.1495221027479092,0.09954741539211634,0.1524106573910377,0.13298346129758065,0.11799115732920915,0.11622688183616585,0.10208187666241071,0.20839189583925027
Colorado,0.01572743321616884,0.013300784831151649,0.01033452807646356,0.02147392073939818,0.00945769192071637,0.014324650321263715,0.018521234026886546,0.01612008269278591,0.01881079044326579,0.021119723204669788
Connecticut,0.011806467570092707,0.0068610708648961525,0.0062724014336917565,0.007546609855109331,0.009421758440774438,0.005557746282851245,0.008871958968246309,0.0070727755900397505,0.009496057093097358,0.008584312611713796
District of Columbia,0.001963019018963599,0.005775321859866475,0.011648745519713262,0.001759462410039535,0.008863591719009769,0.004605553107095637,0.002568415904699023,0.001659515794396339,0.0021870886586126495,0.006246667297806627
Delaware,0.002838856508715656,0.003833916354184268,0.0022102747909199523,0.003995887521595811,0.003128608320277502,0.0041891860546032335,0.002579423541836982,0.0026959592622972117,0.0026660486917639364,0.001900702264578726
Florida,0.05992501810943383,0.09056800491822728,0.0527479091995221,0.0698697361866302,0.07220473459531715,0.10245760942682842,0.07007520771509562,0.07644953624490129,0.06971558854959728,0.06093170822885135
Georgia,0.03080045705892987,0.02928286637737328,0.03369175627240143,0.022714023763341706,0.033636132790977345,0.027808447959917423,0.037203258181966854,0.03918582123066759,0.036794567717563065,0.035988733342557686
Hawaii,0.004294258611264573,0.0023390341148089694,0.0014336917562724014,0.003635515702672051,0.002397960894791562,0.0021862169747860175,0.006006533425771276,0.004542907089384666,0.0062192569647850126,0.007391619917806158
Iowa,0.010001529103551433,0.00625348284552524,0.0023894862604540022,0.008977497959659554,0.002762086824869801,0.007720767321565262,0.008292092369014523,0.008419131428825933,0.008951643611279045,0.004450345872789695
Idaho,0.0048206845232599705,0.0026388734095754434,0.002090800477897252,0.006115721750559106,0.0006372203776369186,0.0032381526756512257,0.003789379084742491,0.0037421454843726224,0.004069612396175573,0.0023335995449319056
Illinois,0.04305269141634371,0.05068937871428623,0.045997610513739545,0.045714225147593456,0.05570887173664113,0.048894713646169194,0.03878914418962857,0.036018034301917745,0.04093228708059487,0.03185881237260885
Indiana,0.021132781724884454,0.014597931324577835,0.02126642771804062,0.019672061644779377,0.01631140432830744,0.013083667741411705,0.02130547824546913,0.02030018817433777,0.022301051368131864,0.017594240119625296
Kansas,0.009268487538649206,0.007694437154187144,0.006033452807646356,0.01163788991700849,0.004300039766384469,0.00893855396534527,0.01027916743736507,0.00882786316348156,0.0112364701898607,0.0075558781382018495
Kentucky,0.014072541766551724,0.008005781074172475,0.011350059737156512,0.015061422196784212,0.008839636065715148,0.006765094755398854,0.010379415561300056,0.012274942378568167,0.010371423260180259,0.007117316781283301
Louisiana,0.015201428879294042,0.01933424171936624,0.026881720430107527,0.015061422196784212,0.012785132163339227,0.022825960891651783,0.016374941349933374,0.018270911661983958,0.016634610692764312,0.011642913957012896
Massachusetts,0.021697179751142586,0.021315194374238268,0.01063321385902031,0.018559148674573648,0.018774045486994476,0.023054440861960984,0.014912105000278139,0.016111731760636305,0.014458578359940013,0.015309189802396551
Maryland,0.01885148698027127,0.028307849390075104,0.032974910394265235,0.013418550669337658,0.03444343830700607,0.026875971329823015,0.019507400375478365,0.016665676926560048,0.018941844758277024,0.02756786979744453
Maine,0.004445830043824824,0.0010663349499728562,0.0011350059737156512,0.0034553297932101708,0.0007737676014162582,0.0009452343949340076,0.003134129827610574,0.002933496887885952,0.0035701613058965447,0.0010907393157310017
Michigan,0.034066079121130945,0.040220169765125886,0.03757467144563919,0.05510509078190085,0.03197600601766011,0.04263413050033634,0.030751799994378243,0.032720343984174054,0.028612296963475944,0.03906189945616773
Minnesota,0.01729044489770178,0.010960312638190322,0.006869772998805257,0.023932928444995602,0.01131665061637896,0.009447704762125676,0.015558213987286571,0.013786461097646521,0.01685043017215289,0.011555525347147207
Missouri,0.019553338731450987,0.021914153924695038,0.024014336917562724,0.017223653110326774,0.01723848811080927,0.024650321263714598,0.022389632221083675,0.01986686758390831,0.02348186696232756,0.020794443379058614
Mississippi,0.009809196415730552,0.005846506728408155,0.012783751493428913,0.012157249303104497,0.00576133461735635,0.0050625130477140404,0.009359538323973238,0.012464230173959196,0.008973756262855744,0.006062180232534618
Montana,0.0031524949080386317,0.0018939489266544191,0.001075268817204301,0.003190350514589759,0.00042401506331479164,0.00247964556609682,0.0028901927260354403,0.0016896719382699095,0.0035076562107730774,0.0015948421300488163
North Carolina,0.029248743590629026,0.029228938446659882,0.03494623655913978,0.024399291975367526,0.03026796793775363,0.029143374080861033,0.034777744995112415,0.04838808451885641,0.032592721664958836,0.02303337192996936
North Dakota,0.0021402694352698737,0.0005076415877820881,0.0007168458781362007,0.0019078508060669656,0.00012936052779095338,0.0005335065296560043,0.001262733231683046,0.0009478307989800728,0.0014346688342961919,0.000868222022091517
Nebraska,0.00592958223008389,0.0036325854128542614,0.0026284348864994028,0.006158118435138372,0.002491387942640584,0.003928231773793232,0.005931150767871145,0.004364753870193111,0.006686718419116416,0.004515887330188962
New Hampshire,0.004407379020225087,0.0012662278131505057,0.0011350059737156512,0.004303263484795489,0.0008743813452536664,0.001126162696295609,0.0023618261434133936,0.0019448393095078146,0.0027261951040525563,0.0010891210081408963
New Jersey,0.029352252086839847,0.022231969196365976,0.024910394265232973,0.012803798742938303,0.031657395828841646,0.018648372805084548,0.019989770760059655,0.0180844075106428,0.02015612416519212,0.022399804508443116
