,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,285317559.0,1439480.0,16037.0,90863.0,423557.0,909023.0,10437189.0,2116531.0,7092267.0,1228391.0
Alaska,0.0022207886616610233,0.0025946869702948286,0.0024318762860884207,0.005513795494315618,0.0012135320629808974,0.0029493203142274727,0.002218988273566762,0.0018175968128980866,0.0023539722912293065,0.002131243227929869
Alabama,0.01566294067446441,0.01360352349459527,0.023632849036602857,0.015066638785864433,0.013183585680321656,0.01347600665769733,0.01659958442833602,0.019202175635509237,0.016918708785216348,0.010272787736152414
Arkansas,0.009444557178480558,0.008468335787923416,0.00922865872669452,0.009816977207444174,0.005149247917045403,0.009866637037786723,0.009495468559590135,0.010486971369661017,0.009812095342716229,0.005959014678551047
Arizona,0.018600208198192247,0.019920387917859227,0.02494232088295816,0.016706470180381454,0.020936969522401944,0.019679370048942657,0.028156431774877318,0.025901345172832338,0.026345595844036892,0.042497055090765075
California,0.12127000918299599,0.14787770583821935,0.13755689966951426,0.10961557509657396,0.1525508963374469,0.14970688310416788,0.10866805228879155,0.10974230946770919,0.09838024992572897,0.16621499180635482
Colorado,0.015530025616124103,0.010762219690443772,0.009852216748768473,0.02124076906991845,0.008393203276064378,0.010834709352788654,0.016372895039076133,0.013481021539490799,0.017111594924443765,0.01709064947561485
Connecticut,0.01203782203954717,0.007983438463889738,0.006547359231776516,0.007032565510713932,0.00987588447363637,0.00722203948634963,0.009130715176279744,0.00810713379581967,0.009272352549614954,0.0100765961326646
District of Columbia,0.0020111695964705766,0.0063877233445410846,0.014404190309908338,0.001992009949044165,0.008924418673283642,0.005503711127221204,0.0033756215394777273,0.0023382601058052066,0.00314610264954774,0.006488162156837685
Delaware,0.0027919732763450424,0.0033817767527162586,0.0014341834507700941,0.004622343528168781,0.002729266663046532,0.0035961686337969445,0.0026251321117208857,0.002430391995203472,0.002746089508474512,0.0022623089879362517
Florida,0.05738633842721191,0.09080570761663934,0.05449897112926358,0.07308805564421161,0.07759758426846917,0.09937152305277204,0.07497392257627988,0.08317950457612007,0.07283256538424174,0.07319900585399926
Georgia,0.029460777070506202,0.028948648122933282,0.03728876972002245,0.023992164027161773,0.03400250733667488,0.02694211257580941,0.03333004700786773,0.03392296167644131,0.033625919610753514,0.030600191632794444
Hawaii,0.004300555508397574,0.0021653652707922305,0.0019953856706366527,0.004501282150050075,0.002696213260552889,0.0016875260581965474,0.006019820087573388,0.005273723843402247,0.0063343638923915304,0.0054892945324412174
Iowa,0.010276153385989119,0.005463778586711868,0.00311779011036977,0.007142621309003665,0.0027245447484045833,0.006613694042945008,0.008492133274581882,0.007977676679434414,0.009340313893991864,0.004481472104566054
Idaho,0.004628474337956887,0.0022306666296162503,0.0018706740662218619,0.004677371427313648,0.0005784345436387546,0.002762306344283918,0.003658168880529039,0.003546841506219375,0.00398814652635046,0.0019448205009642695
Illinois,0.04388172618566388,0.05506849695723456,0.06123339776766228,0.044132375114182894,0.058861026969215476,0.0542857551459094,0.04164416300212634,0.03739987744096354,0.04325231974487142,0.039672221629757955
Indiana,0.02147341727397857,0.015793203101119847,0.0257529463116543,0.018885574986518164,0.016930424948708202,0.014778503954245382,0.020268675790004378,0.02020192475328734,0.020767830652737695,0.01750175636259139
Kansas,0.009470587823163032,0.007578431100119487,0.0057367338030803764,0.010400272938379758,0.005720599588721235,0.008194512130056114,0.010111630631580975,0.009692274764697516,0.010862253211843266,0.006500373252490453
Kentucky,0.014260657543337527,0.007301247672770723,0.011286400199538566,0.011566864400250928,0.007717969482265669,0.006610393796416592,0.010285911273619745,0.012739714183255525,0.010074070815438844,0.007281069301224121
Louisiana,0.015668043760321108,0.02131186261705616,0.031240256905905095,0.015440828500049525,0.018566568372143537,0.023002718303057237,0.019899323467266906,0.02194676099712218,0.019677065175352254,0.017654802094772756
Massachusetts,0.022435226287632722,0.02124725595353878,0.008916879715657543,0.020426356162574426,0.015289559610630919,0.024322816914423506,0.01600804584452768,0.015322241913773056,0.015061615700593337,0.022654024655016196
Maryland,0.018877488714250497,0.029238336065801538,0.02781068778449835,0.015947085172182296,0.03193194776618023,0.029336991473263054,0.02103171648994763,0.019632596923928824,0.020576495498547925,0.026070689218660834
Maine,0.004501896078537529,0.0009968877650262595,0.0011847602419405125,0.0035878190242452923,0.0006232927327372703,0.0009086678774904485,0.0031765257867803296,0.003259106528560177,0.003466451559141809,0.0013603160557184154
Michigan,0.03507062809267901,0.03850279267513269,0.041903099083369706,0.057933372219715396,0.03054370486144722,0.04020910362004042,0.03375937716563339,0.03403588229985764,0.031965519628632144,0.04364001364386421
