,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.0022502819904334204,0.005233954993576329,0.0028704042994992063,0.00843042465134073,0.0031854606474733182,0.005425521158299445,0.0033723115010159182,0.0032266866826503042,0.003127576012004204,0.005314508235093842
Alabama,0.014961334562965114,0.020414420643900227,0.02339074141932332,0.014134177303237924,0.014387900937862186,0.023557859483934292,0.019213240904247687,0.023563314718144667,0.01841072733343565,0.017652519470570713
Arkansas,0.009212880782971859,0.01349729598953688,0.013558079882740931,0.01628351824157479,0.005663436173465397,0.015719214483182118,0.012352952258208936,0.015805501642492833,0.01191666856199353,0.009717995914372047
Arizona,0.02191092092011197,0.027190216536423298,0.02339074141932332,0.025075644280596807,0.023140807315182844,0.02904626736475039,0.026697292897547666,0.025738190610139326,0.027099479049502814,0.02547399668042729
California,0.12079307558203765,0.1410125686781928,0.10620495908147062,0.10785657148819254,0.19314699336599378,0.1295108892675793,0.13043815531167113,0.13331438616435617,0.11883775881006856,0.20643592799080734
Colorado,0.017421196043860887,0.018245782693853956,0.013130572859411261,0.030104684728550064,0.013442217308143545,0.017912851333321825,0.02137279466480789,0.017616818608387118,0.021122796730303144,0.02928166361663191
Connecticut,0.01093252722882716,0.005976529843923542,0.005252229143764504,0.006072409835495426,0.00783921956214137,0.0053281083920481585,0.00822209576727463,0.006463899570287924,0.008444111206695045,0.009565050857556283
District of Columbia,0.002147455895473638,0.005585280729224472,0.009771589104678149,0.0031301081626265085,0.008585811901392928,0.004895299772374726,0.004256218655995692,0.0014477580397939131,0.005035198608912904,0.0034485785419415245
Delaware,0.002955359470578582,0.0032569492629744992,0.0028093318675949676,0.002323235836260564,0.003061028590931392,0.0034994611471031415,0.0031035793460777016,0.0025538192715380322,0.0033982095754971123,0.0019563667702259865
Florida,0.06502947598230885,0.0654583722918974,0.06760718211799194,0.05869300594720551,0.06002602407582534,0.068498437696521,0.06732391533330268,0.05824473102712279,0.07127429227698581,0.05474768055496446
Georgia,0.03217487956479853,0.02844061676829828,0.03951386344204226,0.019462316975619936,0.030215658529995235,0.029193003050622578,0.03848175197850586,0.03790729328355248,0.03930130670523322,0.033722390092352214
Hawaii,0.004348476741998158,0.0028920495784490407,0.002442897276169537,0.004931659305115988,0.003380996736324917,0.002369966287784439,0.005683130990025881,0.004622623405583585,0.005657311779230289,0.0076046942162829295
Iowa,0.009638011831986188,0.006629676325196682,0.00427507023329669,0.007832226202483219,0.003516094397713294,0.007543940556017273,0.00789906309443137,0.01006710050825376,0.007549070968109389,0.006773471081414649
Idaho,0.005358441919698666,0.003350369969953665,0.0020764626847441063,0.006448022815010608,0.0006932643150193048,0.0037485418911887072,0.003576908095265272,0.0040404432989774195,0.0036076830116469906,0.0026013959228837723
Illinois,0.03894569262997301,0.04179418859325183,0.05508733357762306,0.04247208986888325,0.05066517822225698,0.03832884083740453,0.03417040167422903,0.03183529242202309,0.035839261246821824,0.02639299697833766
Indiana,0.020495112238775245,0.0199688757336919,0.025528276535971662,0.017292108649532224,0.020396191668029494,0.020182938708873933,0.020355491084464456,0.020966580918581425,0.020232725752064105,0.02020603694088607
Kansas,0.00891175509037917,0.010269091559479047,0.007450836692317088,0.011574444405801134,0.005048386293986732,0.011905319723495712,0.010728369416396873,0.010357785707518868,0.010841779323939775,0.01054788909222454
Kentucky,0.013655719874021137,0.007760306419918892,0.015268107976059606,0.01304211734427712,0.008777792788629044,0.00631949907642833,0.012360986518511212,0.014139122422193126,0.011718471524322522,0.013911350385155551
Louisiana,0.014263447440555738,0.020212408345902544,0.03255160620495908,0.014641950405175113,0.016353927431224626,0.022289027376686536,0.021193270503570814,0.025336575404469427,0.021036408050431114,0.015479369706771077
Massachusetts,0.02106794713275547,0.018703304617777562,0.008427995602784902,0.017146036935276318,0.01451944339763508,0.020637942642376773,0.0121425377513269,0.011412835330478302,0.012799285649712633,0.008771066519130101
Maryland,0.018475766539963218,0.022620586570254366,0.029986564064981066,0.013848989670643063,0.0345423388960388,0.0198919334831106,0.0170305540148861,0.015311579716164932,0.017561939441153158,0.016156317827807805
Maine,0.004098892660114352,0.0011977013715277639,0.0014046659337974838,0.003109240774875665,0.000810585968330264,0.000988924538399126,0.0025212339958919994,0.002195928301969291,0.002811836854595811,0.001033376601268247
Michigan,0.030561536543144332,0.036071571440092175,0.03389519970685233,0.054957743539804545,0.020044226708096618,0.038326374691423484,0.023020372113691987,0.025776246889708854,0.022337972010449972,0.02324232880793293
Minnesota,0.01716089223750253,0.009903393407372571,0.006534750213753512,0.017215594894445796,0.010473623959214726,0.008477376809842882,0.015540198728813794,0.013122129078803219,0.01640792428834936,0.013473794526960889
Missouri,0.018738467132233504,0.02450976086694416,0.03658238671063882,0.020415261016241783,0.018508379610207695,0.027073350579914227,0.022537208321720594,0.02214146733678107,0.022076130215262623,0.026395656892369238
Mississippi,0.00912498944978002,0.0063310494498957605,0.013069500427507024,0.004145654366500887,0.006043842746322144,0.0066820225356419745,0.009932146516095393,0.016481607885908894,0.008830184510547925,0.00684262884623569
Montana,0.0032467266018849006,0.0032258090273147777,0.0022596799804568217,0.0039578478767432965,0.0009599044361805758,0.0039014429420135095,0.003710581564087632,0.0026955181848288237,0.003945019339023391,0.0037464889134783165
North Carolina,0.03177842729893728,0.029527331146064473,0.035055575913032856,0.01831461064932355,0.02692354183405741,0.03230651235169214,0.033705522750531784,0.04651772896317691,0.032372055402665856,0.021940300889475253
North Dakota,0.0023205050627265965,0.001719899169513869,0.0010993037742762918,0.0028449205300316487,0.0005617218552464111,0.001934691522129961,0.0021638479341700417,0.0022202195442477123,0.0021191984124359943,0.0023819530152785462
Nebraska,0.005894360800782519,0.004457844504826338,0.002687187003786491,0.008972976732862658,0.00261662838899594,0.004331785415705897,0.0055676038677483185,0.004297930467128686,0.005731277308235766,0.006514129463335745
New Hampshire,0.00414299596971725,0.0019195160647684964,0.001282521069989007,0.004020450039995826,0.001215878952495396,0.0018039857851345654,0.0023827122665424035,0.0015449230089075985,0.0027514412288445686,0.001192971443162957
New Jersey,0.02720038254539772,0.014800395081759088,0.01740564309270795,0.009905053385733662,0.02262530308093772,0.012901642699837974,0.017336687036748708,0.015572305716619987,0.01813512450959612,0.01467873558326595
New Mexico,0.0064059414382064165,0.014082572726423449,0.00934408208134848,0.00905644628386603,0.009407063474569642,0.016690875999713927,0.00979653374306214,0.013037919438904692,0.008522663745251251,0.013336808954334596
Nevada,0.00926677938621227,0.013346385616724382,0.012336631244656162,0.016200048690571418,0.013730188638997718,0.012727779408174288,0.010250330928411416,0.014365030975382446,0.008474691270366562,0.0158477678001447
New York,0.05978297590271138,0.05470461091074011,0.03432270673018199,0.04574826974576566,0.06467267258726242,0.05324655787674695,0.03899982324627335,0.025228884230368426,0.04534316278513281,0.01747829510150232
Ohio,0.035741621470850214,0.0274880449441432,0.0363991694149261,0.04070531770597851,0.034158377121566566,0.022651550835900182,0.03571755086933467,0.04004492260405356,0.036014332111341245,0.026544612078137634
Oklahoma,0.012061174633063174,0.014932142232627142,0.013130572859411261,0.016909539874100096,0.009972340531431537,0.016338217124424462,0.01584619322894705,0.02200624608809786,0.01410486324308838,0.01784536323786015
Oregon,0.012800875415187677,0.009698187239050814,0.005252229143764504,0.014704552568427643,0.008941332062941289,0.009162965392573448,0.01695519819411992,0.013372328874270959,0.01704666536828813,0.022203632378601523
Pennsylvania,0.039183996819027365,0.031219283950242694,0.04788078661292293,0.03123152366709561,0.035032956718975536,0.029557992655817267,0.026406812831101564,0.021905842286680383,0.028753095992539994,0.017472975273439162
Rhode Island,0.003239447474300524,0.0018572355934490525,0.0009771589104678147,0.0034361631829722115,0.0016105063318140771,0.0016806784860823052,0.0024414454797866323,0.0022809476499437657,0.0025362340307562813,0.002045473890283866
South Carolina,0.015562750287162043,0.020331380015474302,0.025100769512641993,0.01843285917991166,0.012770284202817141,0.023194102951730126,0.021655101949222367,0.024256424831155622,0.02129652971703694,0.019877537557986127
South Dakota,0.0026897202902170414,0.0027810625846874677,0.0007328691828508611,0.00429172608075679,0.0007892547586373623,0.0032454481110554857,0.0021042835905497152,0.0020258896060203414,0.002147676096730093,0.0019310975869259906
Tennessee,0.020728160640587225,0.034084185630937104,0.03102479540735312,0.020943901505929816,0.02567566606702266,0.03939174975523501,0.02672042602634905,0.027155989451123186,0.026511003949224097,0.027462282419032216
Texas,0.08763318435008018,0.09437647267364474,0.08104311713692439,0.10501860675407784,0.10075085858119014,0.09054824891304616,0.09435310629437198,0.0954621530299681,0.0942703090325672,0.0931076307613738
Utah,0.009653108828305005,0.006029228704270763,0.003847563209967021,0.012896045630021216,0.004397784398353231,0.005421821939327876,0.010568376818998089,0.00816104769747363,0.011162869992490682,0.010385634336298251
Virginia,0.026022685208271865,0.013859001803738266,0.025467204104067425,0.021368205056863633,0.012834277831895847,0.012648862736780841,0.019799049297667126,0.012679218761260004,0.022265344359230124,0.014331616802144955
Vermont,0.0019111781077905397,0.0009222300560763783,0.0006717967509466227,0.0022675894689249817,0.00025952971793030384,0.0009186393779393378,0.001137401919689534,0.0012113232816172786,0.0012329499421558983,0.00035110865216836194
Washington,0.023030783170366838,0.018938852554178022,0.014413093929400269,0.025110423260181546,0.019756255377242442,0.017652672932321554,0.03092580720767344,0.03273973634285631,0.029613160283301354,0.03708053155722007
Wisconsin,0.017776639700702843,0.013865389544386413,0.010687675583241725,0.01622787187423921,0.012418319242884264,0.014012641464298838,0.012638445542398454,0.01148166051693383,0.013069154711613754,0.01154136698301911
West Virginia,0.0055229875476625594,0.004320508080891154,0.004641504824722121,0.004980349876534623,0.0011838821379560435,0.005284950837379868,0.0038630939881015374,0.004790232977304692,0.0037810337475848916,0.0029112759075626674
Wyoming,0.0017680535626001803,0.000986107462557859,0.0008550140466593379,0.001815462734323375,0.0002666401211612711,0.001091269596612502,0.0014278819861356371,0.0012558572257943843,0.0015240339232291324,0.0010413563433629826
TOTAL,326687501.0,1252399.0,16374.0,143765.0,281278.0,810982.0,7219084.0,1235013.0,5232167.0,751904.0
