,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,255029699.0,1932274.0,23760.0,109062.0,672478.0,1126974.0,12505917.0,2979884.0,7915199.0,1610834.0
Alaska,0.002301692713835654,0.002006444220643656,0.001851851851851852,0.005308906860317984,0.0009517039962645618,0.0023194856314342656,0.002304189288958179,0.001734966864481973,0.00261875917459561,0.0018114839890392182
Alabama,0.01621771901946212,0.018657809399702113,0.01914983164983165,0.01562414039720526,0.010140108672700073,0.024023624324962245,0.01454007730900501,0.01646137903354627,0.014882885446089227,0.009301392943034477
Arkansas,0.009406747564721865,0.0071578875459691535,0.0109006734006734,0.009077405512460801,0.004477469894925931,0.008492653779057903,0.008028359695654465,0.008796986728342445,0.008374773647510315,0.004904291814054086
Arizona,0.01502570098708386,0.013303496295038903,0.013131313131313131,0.01510150189800297,0.008724448978256538,0.015865494678670492,0.01948109842724848,0.018153391205832172,0.019968291384714395,0.019543292480789454
California,0.12103296251782816,0.17886904238218804,0.16502525252525252,0.11700684014597201,0.19464874687350367,0.17573164953228734,0.13722600269936222,0.14345894001243,0.12236382180662798,0.19872438749120022
Colorado,0.013606258461686064,0.01039500609126863,0.00909090909090909,0.015046487319139571,0.00621581672560292,0.012466126104062739,0.014927653845775563,0.012702843466389967,0.01657178802453356,0.010964506584787755
Connecticut,0.012865168303398265,0.008410815443358447,0.006986531986531986,0.00810548128587409,0.010287325384622247,0.007350657601683801,0.011957139968224641,0.012205844254340101,0.01130268487248394,0.014712875442162258
District of Columbia,0.0023095349377328794,0.008634903745535053,0.018644781144781145,0.001971355742605124,0.011091812668964635,0.007602659866154854,0.004038248454711478,0.003597791054953817,0.003873939240188402,0.005660421868423438
Delaware,0.0027016461325941495,0.00221500677440156,0.0013468013468013469,0.005418936018044782,0.0015494930689182397,0.002320372963351417,0.0023289775551844777,0.002214180149294402,0.0025797203582626285,0.0013092596754227933
Florida,0.05288795796288808,0.08426703459240252,0.05084175084175084,0.06702609524857421,0.07358158928619227,0.09301634287925009,0.07712613157435796,0.08549158289383077,0.07556259798395466,0.06933364952564945
Georgia,0.02647142676508433,0.025615414791070004,0.031186868686868686,0.02802992793090169,0.02507591326407704,0.0255862158310662,0.03062022561000525,0.032686507260014146,0.031157649984542398,0.02415705156459325
Hawaii,0.00454848986039073,0.0015515397919756721,0.0017676767676767678,0.004034402449982578,0.001711580155782048,0.0012112080669119253,0.005429509887199795,0.004364599427360259,0.006385689102699755,0.0027010852763226997
Iowa,0.011026166799498908,0.004044974988019297,0.001851851851851852,0.004841282939979094,0.0016550727310038395,0.00544023198405642,0.00827280398550542,0.00711336414437609,0.009827674578996687,0.0027774432374782256
Idaho,0.00418382644916975,0.0015541274167121227,0.0015572390572390572,0.0031083237057820323,0.0003405315861634135,0.0021278219373295215,0.003169379742405135,0.0026625197490909042,0.0037930821448708997,0.001042317209594533
Illinois,0.045606453074314296,0.05882395560878012,0.05563973063973064,0.03953714400982927,0.07133764970749973,0.05329049294837326,0.04453092084330961,0.04205063015875786,0.04543385453732749,0.044682444001057836
Indiana,0.0222013358530451,0.014900060757428812,0.019528619528619527,0.021987493352405053,0.010291786497104738,0.016866405081217492,0.018917765086718552,0.018090301501669192,0.019858123592344297,0.015827825834319364
Kansas,0.009892965446349839,0.006669861520674604,0.006355218855218855,0.009554198529276924,0.004873021868373389,0.007469560078582115,0.009702127400973475,0.010953110926465594,0.010173591339901877,0.0050712860543047885
Kentucky,0.014723775367040684,0.010405874115161721,0.00909090909090909,0.011085437640974858,0.004867073718396736,0.013672897511388905,0.008371397315366798,0.009187605960500476,0.008740904682244881,0.00504583340058628
Louisiana,0.01680980692370264,0.02184421050016716,0.03143939393939394,0.01662357191322367,0.017303168282085064,0.02485682899516759,0.019066014911181643,0.019656469849161914,0.019322066318231544,0.01671556473230637
Massachusetts,0.023518829467778966,0.024182388212023762,0.009006734006734006,0.019860262969686966,0.016445147647952796,0.029537504858142247,0.020257930705921044,0.02158406166146065,0.01789089573111175,0.029435683627239057
Maryland,0.019244817443791126,0.02540271203773378,0.025084175084175084,0.020887201775137077,0.031308087402115756,0.02232260903978264,0.020503734352306992,0.018631597740046257,0.020876796654133396,0.0221338759921879
Maine,0.004842573256536683,0.0008363203148207759,0.0008838383838383839,0.002695714364306541,0.0004282667983190528,0.0008988672320745642,0.0033504140480062356,0.0034081863589320925,0.0037858808098191845,0.0011037760563782487
