,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.007581770998072869,9.796826128152338e-05,0.000422731282628888,0.00272743829768306,0.004333633156479398,0.05140177301494284,0.012520766550822229,0.032290811647076686,0.006590194817043925
Alaska,0.00613859649122807,7.368421052631579e-05,0.0009175438596491228,0.001131578947368421,0.00401578947368421,0.05087719298245614,0.009792982456140352,0.03574561403508772,0.0053385964912280705
Alabama,0.008441672780630962,0.00011469797016385424,0.0003558327219369039,0.0015275128393250183,0.0064436292492051845,0.045214477867449254,0.012685986793837124,0.028894839814135487,0.0036336512594766445
Arkansas,0.005932546374367622,0.00011129848229342327,0.0004460370994940978,0.001356239460370995,0.004018971332209106,0.045816610455311976,0.012265177065767284,0.030137858347386172,0.003413575042158516
Arizona,0.0067072,7.76e-05,0.000424,0.0016573333333333334,0.004548266666666667,0.06734906666666667,0.016074933333333333,0.0426632,0.008610933333333333
California,0.010899341672152733,0.0001270243581303489,0.00042448979591836735,0.004112541145490454,0.006235286372613561,0.05682656352863726,0.013978143515470704,0.03245951283739302,0.010388907175773536
Colorado,0.005592833876221498,5.892804264139769e-05,0.0004702398578620077,0.0010743263251406575,0.003989339650577435,0.055148060408646726,0.011583358010068108,0.03930026650873556,0.004264435889843056
Connecticut,0.005396839866302036,5.682163476147068e-05,0.0002917046490428441,0.002243694925554543,0.0028046186569431783,0.04824369492555454,0.011910665451230628,0.02837556973564266,0.007957459738681252
District of Columbia,0.02453344481605351,0.0008060200668896321,0.0003578595317725753,0.01215551839464883,0.011214046822742475,0.08314715719063545,0.020744147157190636,0.04879933110367893,0.013603678929765887
Delaware,0.00714264705882353,5.4411764705882355e-05,0.0008647058823529412,0.0021470588235294116,0.004076470588235294,0.051551470588235296,0.011276470588235294,0.036523529411764705,0.003751470588235294
Florida,0.011843262785267756,9.399713790765986e-05,0.0005170595767116066,0.0039981170445130675,0.007234089026135422,0.0736288318144159,0.020058220983655946,0.04573487986743993,0.007835730963320027
Georgia,0.0073824550807791035,0.0001281896421561226,0.0004227691378529367,0.002681866223765665,0.004149630077004379,0.05755171372489808,0.015146761286426091,0.036291559716140724,0.00611339272233127
Hawaii,0.0024176211453744495,3.9647577092511014e-05,0.0003303964757709251,0.0008687224669603524,0.0011788546255506608,0.057286343612334804,0.012344493392070485,0.04158149779735683,0.003360352422907489
Iowa,0.0030329159212880144,2.039355992844365e-05,0.00020858676207513417,0.00044973166368515206,0.0023542039355992843,0.03830733452593918,0.008324508050089446,0.028275491949910556,0.001707334525939177
Idaho,0.00290279114533205,1.8286814244465832e-05,0.00028873917228103947,0.00020692974013474495,0.0023888354186717997,0.039054860442733395,0.008259865255052935,0.02901154956689124,0.0017834456207892204
Illinois,0.01039201247509313,0.00011262236853504289,0.00039980940829940226,0.004561465823442779,0.005318114874815906,0.050928528112275835,0.011200207918218835,0.033175257731958764,0.006553062462098242
Indiana,0.005053297682709447,7.540106951871658e-05,0.00041319073083778967,0.0011597147950089127,0.0034049910873440287,0.043124777183600714,0.009770766488413548,0.028705704099821747,0.004648306595365419
Kansas,0.004995991983967936,6.132264529058116e-05,0.00044809619238476956,0.0013839679358717434,0.003102605210420842,0.050347094188376754,0.013066533066132265,0.03377074148296593,0.003509819639278557
Kentucky,0.004379746835443038,6.813897118233234e-05,0.00035416105575006735,0.0008305952060328575,0.0031268516024777807,0.02920280096956639,0.007965526528413681,0.019091031510907623,0.002146242930245085
Louisiana,0.009510348071495766,0.00016933207902163687,0.00040874882408278455,0.0027892756349952963,0.006142991533396049,0.05473471307619943,0.014115004703668861,0.03488570084666039,0.005734007525870179
Massachusetts,0.007361240827218145,4.152768512341561e-05,0.00032121414276184125,0.0019461307538358905,0.005052368245496998,0.045862241494329554,0.011670613742494996,0.02500500333555704,0.009186624416277519
Maryland,0.009561522633744856,0.00011707818930041152,0.000458641975308642,0.004070576131687243,0.0049152263374485595,0.05253065843621399,0.011575720164609053,0.033646913580246914,0.007308024691358024
Maine,0.0013206477732793523,1.2145748987854251e-05,0.00021862348178137652,0.00022672064777327935,0.0008631578947368422,0.03635627530364372,0.009025101214574898,0.025697975708502026,0.0016331983805668016
Michigan,0.00803074295473954,0.0001077070879590094,0.000786934244235696,0.0024327497865072587,0.004703351836037575,0.05334980785653288,0.011862297181895815,0.03469096925704526,0.006796541417591802
Minnesota,0.0031601985559566786,2.9557761732851985e-05,0.00039756317689530686,0.000980370036101083,0.0017527075812274369,0.04180234657039711,0.008536101083032491,0.029632220216606497,0.003634025270758123
Missouri,0.007630476929042265,0.00010527336176812718,0.0003404420317952695,0.002511050794881737,0.004673710740597131,0.04652617293524622,0.012532570763861961,0.028408879410624272,0.005584722760759985
Montana,0.0013985148514851485,2.599009900990099e-05,0.00019801980198019803,0.00018564356435643565,0.0009888613861386139,0.03508292079207921,0.005236386138613862,0.02778341584158416,0.002063118811881188
North Carolina,0.0065837910048983225,0.00011414576220869823,0.00034599970313195787,0.0017797239127207956,0.004343921626836871,0.052303399139082676,0.016922814309039632,0.03238711592697046,0.002993468903072584
North Dakota,0.0006535433070866142,1.1023622047244095e-05,0.00018267716535433072,8.031496062992126e-05,0.0003795275590551181,0.02728503937007874,0.0037275590551181102,0.022289763779527558,0.0012677165354330708
Nebraska,0.0033458882611424982,3.264281230382925e-05,0.00028060263653483994,0.0005404896421845575,0.002492153170119272,0.040195229127432515,0.007265536723163842,0.030804143126177023,0.002125549278091651
New Hampshire,0.001192760180995475,3.6199095022624436e-05,0.00029864253393665157,0.000330316742081448,0.0005276018099547511,0.03328506787330317,0.0073538461538461535,0.023728506787330315,0.0022027149321266967
New Jersey,0.006347551546391753,5.231958762886598e-05,0.0002911082474226804,0.0029309278350515464,0.0030731958762886596,0.04796546391752577,0.010157345360824742,0.028549484536082474,0.009258634020618557
New Mexico,0.008347545219638243,0.00010529715762273902,0.0005239018087855297,0.001202842377260982,0.006515503875968992,0.058445736434108525,0.017229974160206718,0.037752583979328166,0.0034631782945736436
Nevada,0.0067702492211838,0.00011838006230529595,0.000660436137071651,0.0031246105919003116,0.002866822429906542,0.05621728971962617,0.014038940809968847,0.03565498442367601,0.006523364485981308
New York,0.011639384206445896,0.00014237457082733415,0.0002815926459187064,0.0062211762099900324,0.004994240779709824,0.05080667848045188,0.011324565289622328,0.029442961568279986,0.010039151622549562
Ohio,0.005618429472529482,7.157875491361185e-05,0.0005254593655727214,0.002151567784989487,0.002869823567053661,0.044711582411554984,0.010551512935368863,0.029155590090501875,0.005004479385684249
Oklahoma,0.005837165354330709,7.244094488188976e-05,0.0005086614173228347,0.0012894488188976377,0.003966614173228347,0.05085007874015748,0.01478236220472441,0.030501417322834647,0.005566299212598425
Oregon,0.00506331279945243,4.5516769336071184e-05,0.0005342231348391512,0.0015013689253935661,0.0029822039698836414,0.0524880219028063,0.01176009582477755,0.0359839151266256,0.004744010951403149
Pennsylvania,0.0044999581974751275,6.337262770671349e-05,0.0002871833458740908,0.0019388847086364016,0.002210517515257922,0.03108552796588914,0.007196221051751526,0.01907382325892484,0.004815483655212775
Rhode Island,0.0046195219123505975,3.685258964143426e-05,0.00030876494023904385,0.0012290836653386455,0.003044820717131474,0.04577390438247012,0.011274900398406375,0.02655776892430279,0.007941235059760956
