,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.004943770533890422,5.635579699223045e-05,0.00033070702609865467,0.0014612642497450568,0.003095443461054481,0.03630633237473265,0.007470301373536862,0.024507007099712264,0.0043290239014835245
Alaska,0.005654094736874924,5.144337643145092e-05,0.0007965928895900431,0.0007622973053024091,0.004043761165551021,0.037597313720416164,0.006092142881639703,0.027653153167197207,0.0038520176715792494
Alabama,0.004449980530916547,6.765059961204726e-05,0.0003715201246021341,0.0013311316002872135,0.0026796782064151523,0.040277782739317904,0.009506360495979367,0.02767021158785558,0.0031012106554829584
Arkansas,0.004249763881478109,5.247078264236949e-05,0.0002786124655799056,0.0009326496858404268,0.0029860309474154076,0.037383954582472984,0.008583407112673245,0.026283058440627463,0.002517489029172277
Arizona,0.005544992993176963,7.112499712835122e-05,0.0002955271198511337,0.0014702841783638494,0.003708056697833628,0.05849819660456248,0.010859335155873097,0.03704031794895357,0.010598543499735808
California,0.005953605032583008,6.842468881622889e-05,0.0002913548962621721,0.0018561232496921746,0.0037377021978124325,0.033611921334977965,0.006811842048048359,0.02044718262558016,0.006352896661349444
Colorado,0.0035285092303997444,3.976848962608955e-05,0.0004590039081983297,0.0007951476221886844,0.0022345892103866408,0.04000265715718396,0.007037911812152318,0.027814170512620275,0.005150574832411364
Connecticut,0.0031246864687804587,2.4287375162168827e-05,0.0002139602097619635,0.001176492018272202,0.0017099468655841243,0.027012765617866488,0.00494739614761751,0.018717181322892847,0.0033481881473561314
District of Columbia,0.016378609065688377,0.0004638438954453692,0.00046032992654048,0.006736278390672521,0.008718156853030007,0.06408952187182096,0.00908360961913848,0.03814061849366695,0.016865293759015527
Delaware,0.006000409457221027,3.226026589903777e-05,0.00044419904584059705,0.001431859494134215,0.004092090651347176,0.03346009963459045,0.006644373995744126,0.023022662836794074,0.003793062802052249
Florida,0.007711676599047634,5.4578020538469984e-05,0.00040457230811886697,0.0019519280868977942,0.005300598183492503,0.046564217751084803,0.010618570270339734,0.030642652896789847,0.0053029945839552246
Georgia,0.004596322216571736,7.092692478527342e-05,0.0002467227020583438,0.0015720964582768854,0.002706576131451234,0.04056165697468576,0.008653084823803357,0.027456795729871412,0.004451776421010989
Hawaii,0.0026292393663710453,1.934449564466741e-05,0.0002998396824923448,0.0009752849887519819,0.0013347701994820512,0.058014142438357556,0.010254194732977449,0.03977228304543619,0.007987664659943917
Iowa,0.002857103929369448,1.4987192762548367e-05,0.00027147255981252384,0.0003981824622595237,0.002172461714534852,0.03163557959561829,0.00635014169709521,0.023302019183606738,0.0019834187149163443
Idaho,0.0025455579678421354,2.680318421828513e-05,0.0003700328487913253,0.00017868789478856756,0.001970034040043957,0.02913208311369613,0.005540069271340546,0.02163612592731572,0.0019558879150398624
Illinois,0.006019093394664912,7.635196811300282e-05,0.00034719885603935724,0.00201121094777581,0.003584331622736742,0.03420178863820743,0.0064704519075160765,0.024170999170774723,0.003560337559916631
Indiana,0.003573381660582178,5.8795698428741804e-05,0.0002993383210059977,0.0010739148011349195,0.0021413328400125193,0.03393989812751942,0.006919863899327471,0.023725038830335915,0.003294995397856036
Kansas,0.0037720764563648305,2.8763511936304308e-05,0.00038166967761634564,0.0007983718377192158,0.002563271429092965,0.037159507317916826,0.00725688655634016,0.027243102196389146,0.0026595185651875214
Kentucky,0.0027142990575139943,4.6701298980738034e-05,0.00026578173817833636,0.0007655589900978576,0.0016362570302570626,0.02655127778177143,0.00657510277953417,0.017697102710093497,0.002279072292143766
Louisiana,0.006632870082427206,0.0001324786783051308,0.0003415849900987268,0.0015913079689164362,0.004567498445106912,0.04442124019702461,0.01013137952974314,0.02978022390460463,0.004509636762676847
Massachusetts,0.004848640568065029,2.6939487371142048e-05,0.00027671369397988104,0.0011163536703105049,0.0034286337164035007,0.026122426733937526,0.005176586003924133,0.01680556853218724,0.004140272197826154
Maryland,0.007708431756573908,9.411937382178781e-05,0.00025135193398801033,0.0024615977359979083,0.004901362712766201,0.039831942794501446,0.007295627485425716,0.026294714729315067,0.006241600579760666
Maine,0.0010780805224211403,1.0811695783593097e-05,0.0002911435221724713,0.0002085112758264383,0.0005676140286386376,0.02547312753012988,0.0053788186523375655,0.018990743643881276,0.0011035652339110383
Michigan,0.005407229413750827,6.750822271062242e-05,0.0005340916026840393,0.0011796016437356103,0.0036260279446205554,0.03336180693424948,0.007066458061611907,0.021344447164908548,0.004950901707729024
Minnesota,0.002672349954455817,2.2289484279047625e-05,0.0004523571229131719,0.0007835151750590223,0.0014141881722045753,0.03264334775317023,0.005579137520346617,0.024309468791836316,0.002754741440987297
Missouri,0.005389675077925139,5.838212032572637e-05,0.0002583982062754959,0.001238900341896985,0.003833994409426931,0.040659354614762666,0.007535173904638539,0.02820703040667821,0.004917150303445921
Mississippi,0.003438757638050003,9.209089231539874e-05,0.00039313043802823635,0.0011706705856457508,0.0017828657220606175,0.03822609221019188,0.010322900667763618,0.0245812916654603,0.003321899876967963
Montana,0.003511751240152377,1.7575232981682212e-05,0.0002603331385411678,0.00031086193336350417,0.002922980935266023,0.03158159521602158,0.00361280882979705,0.02601024636082832,0.0019585400253962115
