,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.0057082126944134,9.069151211792705e-05,0.0003400176301536941,0.0023876342740499277,0.0028898692780918514,0.05029688239876658,0.014879710205697587,0.030831229190970675,0.004585943002098319
Alaska,0.00623744292237443,0.00018493150684931506,0.0008538812785388128,0.0013378995433789955,0.003860730593607306,0.05588812785388128,0.011881278538812785,0.03806392694063927,0.0059429223744292235
Alabama,0.004477047933045904,0.00010575703778848592,0.0002602079634795841,0.001120213035759574,0.00299086989601826,0.04185848338828303,0.01256175500887649,0.02656353030687294,0.0027331980725336037
Arkansas,0.0032466171977302487,8.162374508948058e-05,0.00027149716281099954,0.0007878655608904409,0.002105630728939328,0.0354687909209952,0.010714535137494544,0.02289393278044522,0.0018603230030554343
Arizona,0.00516958041958042,8.251748251748252e-05,0.0003846153846153846,0.0015863636363636364,0.003116083916083916,0.06614020979020979,0.01883251748251748,0.04360944055944056,0.0036982517482517484
California,0.008147104028474357,0.000112400906002265,0.0005067545704578547,0.003720595372917004,0.0038073531790972334,0.06470745025076849,0.020201666397023137,0.037851116324219385,0.006654667529525967
Colorado,0.005042364532019704,5.977011494252873e-05,0.000445320197044335,0.0015064039408866994,0.0030308702791461413,0.06575697865353038,0.01749096880131363,0.04429326765188834,0.003972742200328407
Connecticut,0.0039952426260704095,5.20139549635268e-05,0.00021947351728512527,0.00208499841420869,0.0016387567396130669,0.05027973358705994,0.014107516650808753,0.030650174437044084,0.005522042499207104
District of Columbia,0.021231378763866878,0.0003074484944532488,0.0006671949286846275,0.014480190174326465,0.005776545166402536,0.08287638668779715,0.02341362916006339,0.05298732171156894,0.006475435816164818
Delaware,0.005598006644518272,5.3156146179401995e-05,0.0003089700996677741,0.0012242524916943522,0.004011627906976744,0.058250830564784056,0.014448504983388705,0.03968604651162791,0.004116279069767442
Florida,0.00896802995391705,0.0001352726574500768,0.0005363863287250384,0.0029763824884792628,0.005319988479262672,0.06568413978494624,0.020346774193548387,0.04103897849462366,0.0042983870967741936
Georgia,0.00478152154637347,0.00012644085830821068,0.00039758822486256427,0.0015456641248448306,0.002711828338357865,0.047366022344387304,0.01497942897676893,0.029269196666075546,0.0031173967015428266
Hawaii,0.002557344064386318,3.118712273641851e-05,0.00034406438631790745,0.0015694164989939637,0.0006126760563380281,0.06328571428571429,0.01657645875251509,0.04250301810865191,0.0042062374245472834
Iowa,0.0017273666092943202,2.306368330464716e-05,0.00012461273666092943,0.000361790017211704,0.0012179001721170396,0.039637865748709124,0.009478485370051635,0.028422719449225472,0.0017366609294320137
Idaho,0.0025917098445595857,2.4870466321243522e-05,0.00016580310880829016,0.0003025906735751295,0.0020984455958549223,0.03824041450777202,0.010319170984455958,0.0261720207253886,0.0017492227979274612
Illinois,0.0077431865828092245,8.778825995807128e-05,0.00029909154437456325,0.0034678546470999303,0.0038884521313766597,0.05065985324947589,0.01373803284416492,0.03093169112508735,0.00599012928022362
Indiana,0.003005666240175471,6.488758910619631e-05,0.00027801133248035097,0.0010904770608663864,0.001572290257722537,0.041289343812831295,0.01088813745201974,0.027134710290623285,0.0032664960701882656
Kansas,0.0033588039867109634,5.730897009966777e-05,0.00024750830564784055,0.0008700166112956811,0.002183970099667774,0.046161129568106314,0.01344767441860465,0.030488372093023255,0.0022250830564784054
Kentucky,0.003149713662394328,9.680938096536678e-05,0.00020016362148895554,0.0009730024543223344,0.001879738205617671,0.03253449686392146,0.010290700845377693,0.019912735205890375,0.0023310608126533953
Louisiana,0.006690738193489225,0.00016001834021091242,0.0003988995873452545,0.0021263182026593306,0.004005502063273728,0.04642113709307657,0.014248280605226961,0.02881728564878496,0.0033555708390646494
Massachusetts,0.005713717349939457,3.7882719252724444e-05,0.0002532433834976648,0.0021378654212074037,0.003284725825981664,0.049323646427953644,0.01422106901920083,0.02541653693132676,0.00968604047742605
Maryland,0.008500351699882766,0.00010128956623681125,0.0003742086752637749,0.0036053927315357562,0.004419460726846424,0.051623446658851116,0.014196248534583822,0.033505978898007036,0.003921219226260258
Maine,0.0016301853486319505,2.118270079435128e-05,0.00013415710503089144,0.00030450132391879965,0.0011703442188879083,0.036967343336275375,0.01046954986760812,0.02459223300970874,0.0019055604589585172
Michigan,0.006565594467010649,9.07893292348227e-05,0.0004661323965309035,0.002711494126687891,0.0032971786145570316,0.06127950378746295,0.018130969370951804,0.03623130969370952,0.006917224722801625
Minnesota,0.0021925961771110574,2.2985724655214132e-05,0.0002269537865956932,0.0010133075248003871,0.0009293491410597629,0.04235373820469393,0.01182071134768933,0.02815751270263731,0.0023755141543672876
Missouri,0.00506523934558675,9.674813169056757e-05,0.00025913956776408805,0.001929711169460715,0.0027796404766713793,0.04441284588971925,0.013912542920622096,0.027142597455059585,0.003357705514037568
Montana,0.0022484394506866417,3.870162297128589e-05,0.00014856429463171037,0.00033083645443196004,0.0017303370786516854,0.041083645443196,0.008438202247191011,0.030061173533083647,0.002584269662921348
North Carolina,0.0044633660076424655,9.05466024256521e-05,0.00021963781359029738,0.0008586143877720552,0.003294567203854461,0.04096909785678684,0.013089715899651105,0.026034391094866258,0.00184499086226948
North Dakota,0.0006179104477611941,7.462686567164179e-06,9.850746268656716e-05,0.00012686567164179105,0.00038507462686567163,0.02586268656716418,0.004588059701492537,0.019871641791044777,0.0014029850746268657
Nebraska,0.0022957124842370746,1.9546027742749056e-05,0.00020744010088272384,0.0006191677175283733,0.0014495586380832283,0.0372124842370744,0.008112862547288777,0.02732093316519546,0.001778688524590164
New Hampshire,0.0012481598317560462,2.2082018927444796e-05,0.0001619348054679285,0.00033859095688748683,0.0007255520504731861,0.03704416403785489,0.009450052576235542,0.02535751840168244,0.0022365930599369086
New Jersey,0.0060735412745361655,6.48023662274805e-05,0.00028892175315945145,0.003076095724657166,0.0026437214304920677,0.050687819306265126,0.014307340682979296,0.030112664694810432,0.006267813928475397
New Mexico,0.007345106696100074,0.00011626195732155997,0.00048270787343635024,0.0012619573215599707,0.0054841795437821925,0.058731420161883735,0.016287711552612216,0.03929506990434143,0.0031486387049300957
Nevada,0.008054483541430194,0.0001362088535754824,0.0006152099886492622,0.004196367763904653,0.0031066969353007946,0.07095573212258798,0.024127128263337117,0.04117934165720772,0.005649262202043133
New York,0.009900503992298545,0.00011399286482813296,0.0002921456481114446,0.0061069709496573985,0.003387394529701569,0.0547805085225664,0.016719236649866923,0.03025335522962795,0.007807916643071521
Ohio,0.004367157816699101,6.264479658975072e-05,0.0002986748216106014,0.001835696413678065,0.0021701417848206837,0.04498823093318506,0.013095727921415995,0.028075433231396534,0.003817069780372533
Oklahoma,0.004439093484419263,0.0001082782499213094,0.0003714195782184451,0.00132766761095373,0.002631728045325779,0.04778533207428392,0.01603903053194838,0.026857412653446648,0.004888888888888889
Oregon,0.004729709324273311,5.134012835032088e-05,0.00039901849754624385,0.0016734616836542092,0.0026058890147225367,0.06094526236315591,0.017897319743299358,0.04003812759531899,0.0030098150245375615
Pennsylvania,0.0036044669195111675,5.714285714285714e-05,0.00020632111251580278,0.0017535608933839022,0.001587442056468605,0.030923135271807838,0.009006911083017278,0.018594437420986095,0.003321786767804467
Rhode Island,0.004017745302713987,3.653444676409186e-05,0.0001941544885177453,0.0011471816283924843,0.002639874739039666,0.049623173277661796,0.014002087682672235,0.028264091858037577,0.007356993736951983
South Carolina,0.007199812675616609,0.00010864814236653137,0.0003877614736184827,0.0012241648454573836,0.005479238214174211,0.04641180143615361,0.014908523259444272,0.028725881985638465,0.002777396191070871
South Dakota,0.0009898697539797395,2.7496382054992764e-05,0.00011432706222865412,0.000170767004341534,0.0006772793053545586,0.02545875542691751,0.005622286541244573,0.018652677279305356,0.001183791606367583
Tennessee,0.004211137389808643,9.718340141904966e-05,0.00035497742420984734,0.0017572565039776391,0.002001720060202107,0.03992517738120834,0.01288626101913567,0.023718770156955494,0.0033201462051171793
