,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.0038775375514516295,4.733114214401249e-05,0.00027125880272505166,0.0011311907208786873,0.002427756885703878,0.028680301758970333,0.006722232862560619,0.0196540018956989,0.0023040670007108115
Alaska,0.006041294962255599,4.10786148838776e-05,0.0007982944159100214,0.0008626509125614296,0.004339271018900271,0.02743640688094185,0.0040393971302479645,0.021312954688918497,0.0020840550617753904
Alabama,0.004502931794065338,7.099076538839006e-05,0.0002690176372612676,0.001042028193712626,0.0031208951977030543,0.03505490782824718,0.00985588459475482,0.02314942435207434,0.002049598881418022
Arkansas,0.00469552801044671,5.8986490059759416e-05,0.0004179904726648469,0.0007830965059657716,0.003435454541756333,0.03708317908705185,0.01107623902139379,0.02406309791621749,0.0019438421494405776
Arizona,0.004285813068821973,5.464690239834264e-05,0.00034833584154474276,0.0011269778782317422,0.0027558524466471455,0.03536799422513516,0.00807659847150477,0.024393888766688104,0.0028975069869422907
California,0.00423538201885806,4.9579106543447324e-05,0.0002062375042361978,0.0014873995121773812,0.002492165895901034,0.027617588666995194,0.006467573395893534,0.016712948394202738,0.004437066876898921
Colorado,0.0030737313993099086,2.929014937590785e-05,0.00040890590115576615,0.0006536328071255226,0.001981902541652712,0.026853478725523936,0.0050415669613281386,0.01948006901684145,0.002331842747354348
Connecticut,0.0028350963941126436,3.2574514201235326e-05,0.00025976086965600475,0.0010326399416442891,0.0015101210686111145,0.02148498022559939,0.004116917448663818,0.015564492665862049,0.0018035701110735252
District of Columbia,0.012418163418989086,0.00013892682187529107,0.00037257647684737154,0.006373267953528978,0.005533392166737446,0.048556502959299176,0.005555494161126696,0.03721817983761349,0.005782828960558991
Delaware,0.005504589156788103,6.106517289622301e-05,0.0002715219294849916,0.0016334933749739655,0.003538508679432923,0.03348443328793429,0.008057331473753425,0.023859035410167134,0.0015680664040137267
