,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.008567342447680816,8.380802015718059e-05,0.0014517711878840637,0.001286858632090902,0.00574490460754867,0.0354197024544936,0.005632709999918896,0.02403668087798363,0.005750311576591068
Alabama,0.0052242816587078885,8.594660234004497e-05,0.000410451435041599,0.0008682863191059912,0.003859597302220253,0.029491376622524164,0.0064142010863322335,0.02045221450959156,0.0026249610266003707
Arkansas,0.005659679313698948,8.291716575141434e-05,0.0007126214245302277,0.0006653353300053247,0.004198805393411982,0.031441589851738116,0.007448891890334889,0.021576778131979484,0.002415919829423739
Arizona,0.005057118326382816,5.986770089302181e-05,0.0005138407882334715,0.0010554874280665457,0.003427922409189777,0.029082509041157768,0.005351491500205139,0.021031863803534067,0.0026991537374185617
California,0.004532993679667144,4.644746795181819e-05,0.00037371175853692407,0.0014372064878533906,0.0026756279653250108,0.025052774349139627,0.004484312672272834,0.016295167719649378,0.004273293957217415
Colorado,0.0037217529793076875,3.9530604344591483e-05,0.0007160025228360467,0.000688758457679639,0.0022774613944474102,0.0270716974762024,0.004027491932729595,0.01913672995005967,0.0039074755934131325
Connecticut,0.002291627027208524,2.9379833682160566e-05,0.00023783674885558554,0.000787099734742073,0.001237310709928705,0.017808656138426585,0.002491969512126876,0.01326793289086371,0.0020487537354359968
District of Columbia,0.010027440343485829,0.00016674069378502812,0.0006382143796599352,0.0037732269067732656,0.0054492583632676,0.042743114399927555,0.0026002923711820336,0.03642421707338459,0.0037186049553609287
Delaware,0.0045732949665544505,5.328719289336919e-05,0.00036674126873671736,0.001130524366875009,0.003022742138049354,0.024480763323365493,0.004137593801132196,0.018920088017904495,0.0014230815043288008
Florida,0.004080982372345236,5.038897235671464e-05,0.00037832250200840815,0.0008865503490234837,0.002765720548956629,0.025128937609775977,0.004234914247217356,0.01884819294752701,0.0020458304150316074
Georgia,0.0035645639055973486,6.539867502860591e-05,0.00025410410297458335,0.0009453517723665149,0.0022997093552276446,0.028584406785520676,0.005316691403243333,0.02076739247031731,0.002500322911960035
Hawaii,0.0025115801609742433,2.7383736728542208e-05,0.0003981174032072675,0.0007562124219651271,0.0013298665990733062,0.028361125485622484,0.003896214233504634,0.020765298205382237,0.003699613046735613
Iowa,0.0028750138772383705,3.117408275828284e-05,0.00041512426530162356,0.00040367256143123396,0.0020250429677472303,0.020884090624967197,0.004679611545480601,0.014454913210399292,0.0017495658690873024
Idaho,0.0023916402544877434,2.443417433434328e-05,0.0004392333719625994,0.00012915206433867162,0.001798820643852129,0.016613493249186692,0.0033957684664181363,0.011966927763272411,0.001250797019496144
Illinois,0.004362282574113521,7.687978504318251e-05,0.00042420748125556655,0.0013867298765011893,0.0024744654313135824,0.019951829300911703,0.0033907661043206284,0.014927035374711916,0.0016340278218791577
Indiana,0.003949951366965151,6.201124851015348e-05,0.00039218736345888837,0.0010562933008932923,0.002439459454102817,0.02386336985040124,0.004474269235724125,0.01717621494750365,0.002212885667173467
Kansas,0.00400386300288351,4.603720974655829e-05,0.000516716145215102,0.0005610355486278335,0.002880074099294016,0.027274298284701664,0.004501339717159752,0.020232666561078836,0.0025402920064630744
Kentucky,0.0023107972969150002,5.949876444641227e-05,0.00040795945282690976,0.000666161638160397,0.0011771774414812812,0.021531592496779207,0.004610592935498399,0.01459538370416406,0.0023256158571167483
Louisiana,0.005563479459058349,0.00012331887048478446,0.0003960762333278668,0.0011529029818759797,0.003891181373369718,0.033671189928616355,0.007308141743052288,0.023987661261903163,0.002375386923660909
Massachusetts,0.0035432213853328295,2.5061027974226772e-05,0.000320402328577469,0.0007101595950371006,0.002487598433744033,0.014275606615295445,0.0024647229605350004,0.010719854715975502,0.0010910289387849423
Maryland,0.005032622166940447,9.261578342247188e-05,0.00028415451831410724,0.0018571290335377022,0.002798722831666166,0.02235808083498938,0.0039048009333280884,0.016208923945678022,0.00224435595598327
Maine,0.0012059356000428444,1.722765142918349e-05,0.0003520433118137496,0.0001865080524289865,0.0006501565843709248,0.01508692848202669,0.002499507513877622,0.011993441508003742,0.0005939794601453265
Michigan,0.004498896250338422,5.703433296443112e-05,0.0007126785718402554,0.0006523364480360593,0.0030768468974976763,0.018026357479772107,0.0035917596715544123,0.012470371465913666,0.0019642263423040288
Minnesota,0.0023966646043438087,2.0473567995143813e-05,0.00043192044761684975,0.0006513827291086545,0.0012928878596231606,0.021987534470574183,0.0033813713878295413,0.016810236065626764,0.0017959270171178784
Missouri,0.005312172388752142,9.805828230701181e-05,0.0004480559577200189,0.001041480454152269,0.0037245776945728426,0.02838287977694442,0.004925177765423634,0.020193785429488728,0.0032639165820320558
Mississippi,0.002562496174317975,6.355231342127859e-05,0.0002200916959536911,0.0008335387633990855,0.0014453134015439198,0.02768338772630895,0.007508873073654121,0.018720504618748,0.0014540100339068317
Montana,0.003738521873723993,3.893304465905098e-05,0.000606785744808136,0.00022220323049312025,0.0028705998537636858,0.02591801270546677,0.0034403517268229685,0.020010635368297107,0.002467025610346694
North Carolina,0.0037039957939011565,6.05600342719165e-05,0.0001892744479495268,0.0009623398372083966,0.002491821474471317,0.025848327296802587,0.00635266970440472,0.01792645168828134,0.0015692059041165244
North Dakota,0.0028245071347606384,1.324194624829179e-05,0.0005376230176806466,0.00024232761634373974,0.0020313145544879605,0.022051813087280315,0.00390240155937159,0.015816180598959714,0.002333230928949013
Nebraska,0.0031180005997157867,2.190266352033167e-05,0.0006210969583979766,0.0005319218283509119,0.0019430791494465666,0.0228705526511349,0.0033964773216171467,0.01672111912180749,0.002752956207710259
New Hampshire,0.001957374865439739,9.631291919271992e-06,0.0004585976690791818,0.000326723056646073,0.001162422847795212,0.013743112700191958,0.0018921784278323592,0.011177484706619735,0.0006734495657398647
New Jersey,0.0023180402007393114,3.64514184158191e-05,0.0001693190886290363,0.0008882220629410242,0.0012240476307534317,0.015760288272217392,0.0026878420906553528,0.011703267903412291,0.0013691782781497484
New Mexico,0.0077863948275409085,6.878778252551477e-05,0.0005942500101509748,0.0017827500304529245,0.005340607004411494,0.03910633205868935,0.00853732812011111,0.024975697371972323,0.00559330656660592
Nevada,0.005605898254107364,8.948982389681083e-05,0.0006378673161968171,0.0016286475093400799,0.0032498936046736564,0.026349033863151218,0.006745043155290077,0.015293676332801216,0.004310314375059926
New York,0.0036111997727086994,2.8074518347182664e-05,0.00032142771278583496,0.0010271190148763811,0.002234578526699301,0.014975968977963494,0.0017828850487825382,0.012510668955029164,0.0006824149741517909
Ohio,0.00296815990289545,6.352810398444667e-05,0.0005000802031596187,0.000962266449556585,0.0014422851461947995,0.024052974722758982,0.004931444088109794,0.01734548717696795,0.001776043457681238
Oklahoma,0.0045742808901908134,6.17905529110216e-05,0.0005645062858537776,0.0007646263070100492,0.003183357744415965,0.028889244883843933,0.00731035640180642,0.01844715000610277,0.003131738475934741
Oregon,0.002804471720391107,2.5321999367191178e-05,0.0004803945022804269,0.0005966345374707712,0.0017021206812727174,0.02954812048062602,0.004199834466472708,0.021244192821478457,0.004104093192674852
Pennsylvania,0.0031296795178464053,5.8012046021534666e-05,0.0003296210054269409,0.0009207653180533878,0.0018212811483445418,0.01644320952973731,0.002496003462584224,0.012934184395588364,0.0010130216715647233
Rhode Island,0.0023417253044526855,1.9877215599638802e-05,0.00042972647058266746,0.00044865715210613296,0.0014434644661642463,0.01759133580568034,0.0030468931912017764,0.013139786045437422,0.0014046565690411421
South Carolina,0.0050609224572758125,7.567883416357661e-05,0.0005130228336983509,0.0007735173470824515,0.003698703442331434,0.0319380612556433,0.006206660175547014,0.022889063392773745,0.002842337687322541
South Dakota,0.004297561165528819,3.091770622682603e-05,0.0006584326326083322,0.0003023064608845212,0.003305904365809139,0.018994922625577417,0.0032463591538167335,0.014067556333205845,0.0016810071385548377
Tennessee,0.006549612344633029,8.019325082868844e-05,0.00045134788756369626,0.0011726399707607657,0.004845431235479879,0.0295176748607872,0.005786285880890068,0.020962933129262874,0.002768455850634257
Texas,0.004377546123135009,4.9606822678770544e-05,0.0005132275974794367,0.0011340719889267686,0.0026806397140500325,0.025532260905618623,0.004712047929582462,0.018422208575540264,0.0023980044004958986
Utah,0.002421757728839187,2.384698229329339e-05,0.0005665269577244565,0.0004827402631804527,0.0013486435256409844,0.027778834063029507,0.0037961817758783265,0.020932172092714488,0.0030504801944366924
Virginia,0.002104024154400477,5.552138299748606e-05,0.0003574632020221124,0.000511623637791728,0.0011794159315891507,0.018016688782684226,0.0021882512737136845,0.01462598610996754,0.0012024513990030014
Vermont,0.0017325167127016533,2.7220687722669228e-05,0.00040670909891517553,0.00016012169248628958,0.0011384652335775188,0.014953764861294584,0.0031143669188583322,0.0114791241343421,0.00036027380809415153
Washington,0.0030278373029340245,3.043593961940531e-05,0.0004444185873629979,0.0007253450034960929,0.0018276377724555286,0.03167573280584887,0.005883428735190087,0.02183765200462411,0.003954652066034676
Wisconsin,0.003217858406288204,3.31488793865938e-05,0.0003758599501282016,0.0007544823068719527,0.0020543672699014563,0.018112409576504073,0.0030334677647002764,0.013443942396225447,0.0016349994155783504
West Virginia,0.003612452725519634,5.393363301354725e-05,0.00043642215285452006,0.0003703809695726255,0.0027517159700789413,0.017919174397154066,0.004158943517177311,0.01206187178324403,0.0016983590967327225
Wyoming,0.0023456905277630955,2.4182376574877275e-05,0.00043701009096028216,0.00016927663602414093,0.0017152214242037952,0.01818514718430771,0.00268769842503636,0.01418296386116552,0.001314484898105829
TOTAL,0.003948597164420226,5.318823044415023e-05,0.00041724496770186687,0.0009860028869823516,0.002492161079291857,0.023629266580527403,0.004296654990219028,0.016955401551902408,0.0023772100384059683
