,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.008916681063037057,6.39334874085037e-05,0.0016486678029597123,0.0012188171216599853,0.005985262651008857,0.033116186190638774,0.005420743560061431,0.022259735913888395,0.005435706716688952
Alabama,0.005230906026804941,7.836026942020152e-05,0.0004157390795348551,0.0008280000270066725,0.003908806650843212,0.028377874906320606,0.005953948303909359,0.01970832384519366,0.0027156027572175843
Arkansas,0.005616445046786542,7.376069571619808e-05,0.0007778098588811698,0.0005292828300716376,0.0042355916621175365,0.029629538567042327,0.006485625136847687,0.020716123323896173,0.0024277901062984657
Arizona,0.004757318500189438,5.350638667878174e-05,0.0005036306109060265,0.0009093291668203404,0.003290852335784289,0.02692502847154466,0.004440750687619935,0.01980839963654774,0.0026758781473769856
California,0.004475339411074891,4.4068170799411316e-05,0.00039293907786985154,0.0013767312151756286,0.00266160094723,0.02386229363096082,0.004172285210620515,0.01575656306583506,0.003933445354505247
Colorado,0.004015084812978154,3.777704410267836e-05,0.000760460683146009,0.0006643488546615203,0.0025524982310679463,0.02711021250553697,0.003822861156009177,0.01941880632623166,0.003868545023296137
Connecticut,0.0020957463488934683,2.4079383567780664e-05,0.0002444337424961921,0.0006173841949646089,0.0012098490278648867,0.016619254547083594,0.0022351827793208492,0.012370363318699042,0.002013708449063704
District of Columbia,0.009970821627061338,0.00022806739961827219,0.0006414395614263906,0.0034423923129882957,0.0056589223530283785,0.043797493254193944,0.0025486531907341916,0.03755272276839613,0.0036961172950636238
Delaware,0.0042248459055039,4.764474421504766e-05,0.0003459422732136069,0.0008917853210686095,0.0029394735670066363,0.023206097698655278,0.003266772244657833,0.018415729394424943,0.0015235960595725024
Florida,0.003858914362838777,5.21080531795868e-05,0.00039718857518460115,0.0007947537216658931,0.002614864012808696,0.022877506487970406,0.0033859878856072425,0.017553823923828666,0.0019376946785344994
Georgia,0.0033886933765738436,6.155379473436303e-05,0.00026619399948492697,0.0008085714087285184,0.002252374173626035,0.026429410878810282,0.004453945060717062,0.019563165942846683,0.0024122998752465364
Hawaii,0.0025496394815404553,2.815725545599619e-05,0.0004990873529575325,0.0006694387484663095,0.0013529561246606171,0.028880192989828895,0.0040187442849570565,0.020836369037437182,0.004025079667434656
Iowa,0.002637029960446139,2.2231976060608176e-05,0.00035761721491778297,0.0003141060617705927,0.0019430747076971547,0.01811080289828744,0.003948716548022021,0.012544551292027169,0.0016175350582382493
Idaho,0.0023969801249445885,1.9422622556748332e-05,0.0005295520914736972,0.00011139445289899779,0.001736610958015145,0.014750910578245749,0.002850555487005123,0.010782983040622987,0.0011173720506176394
Illinois,0.004114022471461489,7.089483348792128e-05,0.0004799155801299859,0.0011200912106833327,0.002443120847160249,0.019388322206171763,0.003090213046834369,0.014738344225226756,0.0015597649341106403
Indiana,0.0037351969540125253,6.243001826451419e-05,0.00037129431915211076,0.0008568445329749233,0.002444628083620977,0.021947287856301033,0.0038673753419649058,0.015810775510764923,0.0022691370035712063
Kansas,0.0044175245993365985,4.190482863844686e-05,0.0005715543840522588,0.00048774472677536507,0.0033163206598705278,0.02660235305917271,0.00439382432740174,0.01948437138806997,0.002724157343701
Kentucky,0.002178584773936245,5.6039324363006604e-05,0.0004202949327225495,0.0005534443674090532,0.0011488061494416353,0.020002676438131577,0.003914234728107285,0.013743756378676095,0.0023446853313481963
Louisiana,0.005432550234028444,0.00011438529172541521,0.00045174679002251225,0.00098719013496606,0.0038792280173144565,0.03283394388897116,0.006715253589831083,0.02362088465112486,0.0024978056480152114
Massachusetts,0.0034033477004083465,2.0050460325151633e-05,0.00035814771522825196,0.0005933773910718787,0.002431772133783064,0.012736110515812622,0.002047907523789944,0.009729994398947495,0.0009582085930751812
Maryland,0.004693659599834455,8.134793023362927e-05,0.0003298650287070384,0.0016097280858450957,0.002672718555048691,0.02036928978120886,0.003132972221421445,0.015223660418284098,0.002012657141503316
