,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.005580639801075802,7.975662963849412e-05,0.00036848353061954143,0.002092577583507358,0.003039822057310409,0.04666447927160879,0.012917362889239389,0.029111758241751315,0.004635358140618092
Alaska,0.005817658349328215,9.788867562380039e-05,0.0007715930902111324,0.0009289827255278311,0.004019193857965451,0.052952015355086375,0.01191746641074856,0.03497120921305182,0.006063339731285988
Alabama,0.0045754787366326785,9.848296443670729e-05,0.00026834120865456353,0.0010537179806018404,0.0031549365829395674,0.03484580950012435,0.010348669485202687,0.021911962198458094,0.002585177816463566
Arkansas,0.0034756252649427726,7.927087749046207e-05,0.0002908011869436202,0.000685459940652819,0.002420093259855871,0.03237473505722764,0.009413734633319203,0.02117719372615515,0.0017838066977532852
Arizona,0.006025101976780672,7.969877627863195e-05,0.0004574835268277377,0.0014653278945716975,0.004022591779102604,0.06513680577345465,0.018696266080953875,0.04258550360840916,0.003855036084091622
California,0.007652683481888868,0.00010506353119666224,0.00043318793855490233,0.0032765787976483975,0.003837853214488906,0.05752740375497819,0.017011416650862886,0.03379355205765219,0.006722435046463114
Colorado,0.004710306406685237,5.84958217270195e-05,0.0004088517486846178,0.0012417208294645621,0.0030012380068090375,0.06448034664190654,0.01748065614360879,0.04267038068709378,0.004329309811203962
Connecticut,0.004019533711405167,3.7807183364839316e-05,0.00024039067422810333,0.001900441083805923,0.0018408947700063012,0.04302835538752363,0.011355072463768117,0.027260239445494643,0.0044130434782608694
District of Columbia,0.016247603833865816,0.00023482428115015975,0.0005383386581469648,0.008354632587859425,0.007119808306709265,0.0637444089456869,0.015982428115015976,0.03973482428115016,0.008027156549520766
Delaware,0.004332797427652733,4.823151125401929e-05,0.00047588424437299036,0.001242765273311897,0.0025659163987138264,0.045279742765273315,0.010974276527331189,0.03157234726688103,0.002733118971061093
Florida,0.00941149040999472,0.00011402428294914658,0.0005282421256378674,0.003123878233327468,0.0056453457680802396,0.06633098715467182,0.02009519619919057,0.04098117191624142,0.005254619039239838
