,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.007576662669393654,9.316561989903772e-05,0.0004276443113395981,0.0026368615209791703,0.004418991217175847,0.04903710057705867,0.011684458757879802,0.031036381374547284,0.006316260444631587
Alaska,0.006604770017035775,7.495741056218057e-05,0.0009863713798977853,0.001090289608177172,0.004453151618398637,0.04909028960817717,0.008807495741056218,0.03531175468483816,0.004971039182282794
Alabama,0.008716634429400388,0.00011000967117988395,0.0004119922630560928,0.0016486943907156673,0.0065459381044487425,0.0439644584139265,0.011860009671179884,0.0284818665377176,0.0036225822050290134
Arkansas,0.0057653188828678615,0.00010796165068778658,0.0004126719466444352,0.0012551062942892871,0.003989578991246353,0.04185160483534806,0.01092705293872447,0.02763151313047103,0.0032930387661525636
Arizona,0.006708246346555324,8.1419624217119e-05,0.0004298016701461378,0.0015310542797494781,0.004665970772442588,0.06357750521920669,0.014116649269311065,0.0412455636743215,0.008215292275574113
California,0.01119720089415881,0.00012702886577898727,0.00041341886156736967,0.004240677746460622,0.006416075420351832,0.05559779052062073,0.013849450869861016,0.03137765250915217,0.010370687141607542
Colorado,0.005788472622478386,6.22478386167147e-05,0.0004729106628242075,0.0012046109510086456,0.004048703170028818,0.053799423631123916,0.01090864553314121,0.03780086455331412,0.005089913544668588
Connecticut,0.004953367875647668,5.0594330996647365e-05,0.0002694300518134715,0.0021085035050289547,0.002524839987808595,0.04557604388905821,0.011085644620542517,0.027266991770801587,0.0072234074977141115
District of Columbia,0.028327674023769102,0.0007521222410865875,0.00036502546689303904,0.01266383701188455,0.014546689303904924,0.08574193548387096,0.018202037351443125,0.052059422750424446,0.015480475382003396
Delaware,0.006211901306240929,4.644412191582003e-05,0.0008577648766328012,0.0015123367198838897,0.003795355587808418,0.04227285921625544,0.009576197387518142,0.029635703918722788,0.003060957910014514
Florida,0.012071989916963226,8.956109134045077e-05,0.0005419632265717675,0.003668594306049822,0.007771871293001186,0.07151045373665481,0.01888752965599051,0.044342600830367736,0.00828032325029656
Georgia,0.007331654569693378,0.0001097615168123241,0.00045282180417715895,0.0024978521700488817,0.0042712190786550145,0.05672255962079692,0.014427788475781366,0.03653073618723152,0.005764034957784032
Hawaii,0.0025844827586206896,3.6206896551724136e-05,0.0003793103448275862,0.000992241379310345,0.0011767241379310345,0.058535344827586204,0.011212068965517241,0.04357241379310345,0.003750862068965517
Iowa,0.0027795163584637267,1.5647226173541963e-05,0.00018776671408250357,0.0003958036984352774,0.002180298719772404,0.036791963015647224,0.007538051209103841,0.027662873399715505,0.0015910384068278805
Idaho,0.0028144329896907217,3.467666354264292e-05,0.00031771321462043114,0.00021462043111527648,0.002247422680412371,0.03714714151827554,0.007435801312089972,0.028137769447047798,0.0015735707591377694
Illinois,0.009772504513799329,0.00011366176597025192,0.00037073338491961136,0.004124580861490843,0.0051635285014186225,0.04788066374344424,0.010773450262230247,0.030918923566331354,0.0061882899148826415
Indiana,0.0050849523136700815,8.194984104556694e-05,0.0004235252560932533,0.0012223595902507948,0.0033571176262804665,0.04178452843518191,0.009520840692334864,0.027760685270222536,0.004503002472624514
Kansas,0.00510820451843044,5.984938565200159e-05,0.0004130003963535474,0.0012988505747126436,0.0033365041617122474,0.04809116131589378,0.01293658343242172,0.031916765755053506,0.0032378121284185493
Kentucky,0.005354727030625832,5.752330226364847e-05,0.00032197070572569905,0.0008716378162450067,0.004103595206391478,0.02788069241011984,0.0072910785619174434,0.01842503328894807,0.0021645805592543275
Louisiana,0.00984581292278983,0.0001742477256822953,0.00042290646139491486,0.0027142523909493817,0.0065344063447632375,0.05561884767902962,0.013663167716351761,0.035674830884068115,0.0062808490786097505
