,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.004045023483463799,4.759315157630946e-05,0.0002767042944485162,0.00119318765943136,0.002527538378007614,0.02945921361792331,0.007010175103519388,0.020058179314191092,0.0023908592002128315
Alaska,0.006353042655143346,4.340849070078107e-05,0.0007463459852747197,0.0008317626927827083,0.004731525486385137,0.028368148809907217,0.0043478504395459755,0.021753254936665613,0.002267043433695631
Alabama,0.003837295975823134,5.7466448475268846e-05,0.0002831528643054156,0.001016424746849846,0.0024802519161926033,0.03527980204793705,0.008877834898266624,0.024149282369439886,0.0022526847802305386
Arkansas,0.00503527533656354,4.586546768401294e-05,0.00045215136425806786,0.0008108603951001989,0.0037263981095212602,0.03553546906682256,0.011111422965866508,0.022520629192069517,0.001903416908886537
Arizona,0.004136495623529001,6.361920289504796e-05,0.00034164135672316197,0.0010841772493364423,0.0026470578145743485,0.03536510405637909,0.007941797161398487,0.024034492834887275,0.003388814060093327
California,0.004395846848313355,4.8449044059383905e-05,0.00022312271202804164,0.0015564757570785822,0.002567799335147347,0.02629851071013122,0.006129299544664689,0.01608427916098147,0.0040849320044850585
Colorado,0.003236924915387072,2.5556234413668663e-05,0.00044178606777117143,0.0006268211293399043,0.0021427614838623278,0.026745094589764987,0.005189698579073367,0.01932249432017643,0.00223290169051519
Connecticut,0.002820026748721437,3.719761554893892e-05,0.0001664103853505162,0.000993707729664511,0.0016227110181574707,0.021887580415371508,0.00423577359014045,0.015777662300468353,0.0018741445247627043
District of Columbia,0.01326804560002116,0.00021821355833575792,0.0003091358743089904,0.0071498003015314626,0.005590895865844949,0.0476135371756553,0.00699771206390351,0.03225923770730288,0.008356587404448912
Delaware,0.006232551523018653,5.6679765990362214e-05,0.00036230595515408006,0.0020438056795348256,0.003769760122339385,0.0345390934793819,0.008390828102494799,0.023997768373135126,0.0021504970037519782
Florida,0.005412765791197048,5.239239215753304e-05,0.0002852120801037741,0.0013847091609132795,0.0036904521580224618,0.035514026430714406,0.008977253261691824,0.024335868038692657,0.002200905130329924
Georgia,0.004022587361386353,5.714487523214462e-05,0.00021694459840383552,0.0012738673808506185,0.0024746305068997546,0.03639243064130862,0.00998202562005536,0.023286382211490198,0.0031240228097630628
Hawaii,0.0026427375328141743,1.833706309196624e-05,0.0002765229114268509,0.0007811588877177618,0.0015667186705775956,0.03349594640883289,0.006385698851146323,0.023237459832663298,0.0038727877250232697
Iowa,0.002685395918040838,1.245819129356023e-05,0.00028948902400562326,0.00033178130497586717,0.0020516673977657874,0.022536212355771846,0.005490128194788411,0.015800265031627413,0.001245819129356023
Idaho,0.0022048218384293316,1.400291005930869e-05,0.00033925232098234233,0.00013557362921057958,0.0017159929781771011,0.02000888548292854,0.004145497873467159,0.015017484542696783,0.0008459030667646022
Illinois,0.004448846673176566,5.4820206852837336e-05,0.00023874823041306715,0.0015874499103720767,0.002567828325538585,0.027181478245566493,0.006032714581396327,0.018897475311439513,0.002251288352730654
Indiana,0.0032328180565745473,4.12903416652518e-05,0.00027116045272702676,0.0010105348917253231,0.0019098323704569455,0.03070183412313951,0.007483104084631643,0.021138806111340332,0.002079923927167535
Kansas,0.003708104141695606,3.392624992873739e-05,0.00040081940637456747,0.000537923426705135,0.002735435058687166,0.031166332009276907,0.006755520797665594,0.022305285185106168,0.0021055260265051452
Kentucky,0.002439258349525663,4.3245998652473084e-05,0.0003307858833098739,0.0008621595901567507,0.001203066877406565,0.0255726471818906,0.007002861366900203,0.017134616742688378,0.001435169072302019
Louisiana,0.005553156274454975,0.0001100026994662449,0.00027060664068696247,0.0011653685981453984,0.004007178336156369,0.03644763442494879,0.00999638531129554,0.024257795286296326,0.002193453827356923
Massachusetts,0.004688758968469976,3.264451375386586e-05,0.000272139310920078,0.001052099118506602,0.0033318760252894304,0.023567508396809624,0.005781892545854101,0.016036083475987825,0.0017495323749676986
Maryland,0.005462969700541734,7.363005322968895e-05,0.00021224813466210805,0.0019105788929600508,0.0032665126196898863,0.02995481430794404,0.006343937731789913,0.020495080872934404,0.003115795703219725
Maine,0.0012212035899317377,1.808074408288816e-05,0.00029305872701014556,0.0003103861067562467,0.0005996780120824572,0.024785686680292518,0.005547774976099516,0.01849283437511065,0.0007450773290823495
Michigan,0.004929866865347601,5.8721433920719786e-05,0.000479187149563391,0.0011665316579905747,0.0032254266238729156,0.027487806949843693,0.007526974146268814,0.017185941319266106,0.002774891484308772
Minnesota,0.002356581802104372,1.807685601294604e-05,0.0003385644490758019,0.0006379623767902207,0.0013619781202254034,0.025690036903148347,0.004597358745375808,0.01947574104753121,0.0016169371102413299
Missouri,0.0045766017897782,7.005002739456429e-05,0.0002410054513932033,0.0010315700462747146,0.0032339762647157176,0.033500258100993795,0.007371431097041804,0.023437738451544145,0.0026910885524078446
Mississippi,0.0026932007035519677,6.868520359102406e-05,0.00031346041442766373,0.0009349941684915383,0.0013760609170417417,0.029829579888972387,0.010253286789007136,0.017771959737003008,0.0018043333629622447
Montana,0.002757937268784348,2.522811259407563e-05,0.0003350293352493244,0.0001554051735795059,0.002242274647361442,0.02564084451611471,0.0037256876678930895,0.020350004742885168,0.0015651521053364522
North Carolina,0.0036274216718963155,4.9580376379908695e-05,0.00020940910023750466,0.0010062515206217756,0.002362180674657127,0.0344345127953981,0.010755594476034792,0.02176275183222503,0.0019161664871382856
North Dakota,0.00229459451046427,1.4822961953903553e-05,0.00036316256787063706,0.00013340665758513197,0.0017832023230545974,0.017802377306638167,0.0029645923907807106,0.013543740337281677,0.0012940445785757802
Nebraska,0.002782845693309969,2.9505923314105307e-05,0.0003682776354390181,0.0005573341070442113,0.0018277280275126343,0.02667936514181148,0.004545005002346814,0.0201601953073561,0.0019741648321085644
New Hampshire,0.0016737456590069767,9.872365502309753e-06,0.0003121186324191776,0.0003417357289261069,0.0010100189321593826,0.022197634125578007,0.004134242907274946,0.017306256725549,0.0007571344927540634
New Jersey,0.003074574017230115,4.2161040857230554e-05,0.00011148242878960425,0.0013430166599750692,0.001577913887608211,0.02080118932773368,0.004401567208847046,0.014631813084991544,0.0017678090338950905
New Mexico,0.005879724848045392,6.776664845034617e-05,0.00046420154188487125,0.0007822207421125672,0.004565535915597607,0.03425894507658357,0.01017613035979734,0.021541565399898252,0.0025412493168879813
Nevada,0.0066298534583843485,5.842583782836338e-05,0.0003568413512934852,0.0019591144861687924,0.004255471783093707,0.02773526291442131,0.008241001404069026,0.015728013673125187,0.003766247837227095
New York,0.00394386117889132,4.475332718817217e-05,0.00014421089417663313,0.0014761379693518078,0.0022787589881747066,0.019577518279517113,0.0033946017381821054,0.015118787601430993,0.0010641289399040154
Ohio,0.0031466545929057874,4.151510907293208e-05,0.000323280494451016,0.0014288477832491821,0.001353011206132657,0.03266051699918045,0.009284563798408871,0.0215446082013748,0.0018313449993967743
Oklahoma,0.004813594228367548,5.1859164338766404e-05,0.0003906723713520402,0.0008895841267342236,0.0034814785659425178,0.03443023001002079,0.010065464881505799,0.021622080196075512,0.0027426849324394763
Oregon,0.0025135918414561326,2.5010864094090872e-05,0.0003227964647143603,0.0006307427288728541,0.0015350417837748272,0.030392628881503736,0.005219715230469902,0.022794797323420695,0.00237811632761314
Pennsylvania,0.0036651217883202666,5.13456733839598e-05,0.0002730048667520803,0.0012875733562976138,0.002053197891886613,0.021730778515208934,0.004340871737878844,0.016075205921312008,0.0013147008560180824
Rhode Island,0.0025738032622410045,2.7552711186780778e-05,0.0002831278597814025,0.0007429731085538817,0.0015201495827189394,0.025613570375324933,0.005818372527856741,0.017512123192922183,0.002283074654546007
South Carolina,0.006021643671721112,5.71477123878557e-05,0.00033447585627760073,0.0010819248039617814,0.004548095299093875,0.03905409969062601,0.009976265368960726,0.02621117567724352,0.002866658644421758
South Dakota,0.002689205704642921,2.8165633518573398e-05,0.00047146821324568517,0.00018858728529827406,0.0020009845725803884,0.01859911486435186,0.003908900095273317,0.01371054055973686,0.0009796742093416834
Tennessee,0.00612023463547254,5.646930617940943e-05,0.00034180446330879305,0.0013151528383455217,0.004406808027638816,0.036627187438457894,0.010113039281874013,0.024180974845834074,0.0023331733107498052
Texas,0.004483780563032417,4.9458557490682666e-05,0.0003018199561200827,0.0013005343504135234,0.002831967699008128,0.037667938333692495,0.0090521039765393,0.025922223903839577,0.0026936104533136166
Utah,0.002134766647486794,1.909580292266668e-05,0.00035417309949021413,0.0004572183756389438,0.0013042793694349696,0.031820093036193035,0.005438700851276483,0.024227169436338736,0.002154222748577813
Virginia,0.002141587818373313,4.685969621207901e-05,0.00019691042557203414,0.0007076312635430442,0.0011901864330461558,0.023355445875617668,0.0038390055375448983,0.018194274069152697,0.0013221662689200696
Vermont,0.0013100945984160636,1.1183734376722495e-05,0.0002252723638739817,0.00012142340180441566,0.0009522150983609438,0.022623096967770075,0.005349020384752416,0.016572696669963204,0.0007013799130544536
Washington,0.003134829711031522,2.2838668535285e-05,0.0003824735464448053,0.0008792887386084725,0.001850228757442959,0.03699063466287011,0.008185141518178245,0.024987579620195908,0.003817913524495955
Wisconsin,0.0024890809516170944,2.723283316867718e-05,0.00020925357615415822,0.0007934417715467493,0.0014591527707475097,0.025086007436496107,0.004679830608263777,0.018973905499257773,0.0014322713289745574
West Virginia,0.003012347063797477,3.1277502631624356e-05,0.00019521475780427618,0.00041847141451966383,0.002367383388841913,0.022272278210150303,0.005812222816614609,0.015155567826882259,0.0013044875666534366
Wyoming,0.0019785529816456885,1.4170477934794546e-05,0.00028695217817958956,0.0001363908501223975,0.0015410394754089068,0.024566294809708195,0.0038100872547178837,0.019707592187815516,0.0010486153671747963
