,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.004690427928797284,5.645734015083034e-05,0.0003181947832264271,0.0014078518015461358,0.002907924003873891,0.03431538515705027,0.007269466004386317,0.02287785989690141,0.0041680592557625466
Alaska,0.0063233788614601065,4.824704901447864e-05,0.0008111535115559221,0.0008096457912742197,0.004654332509615486,0.03614759375381642,0.006228392483712852,0.026006667139085688,0.003912534131017877
Alabama,0.004326425958379862,8.22280368144155e-05,0.00034386269940573754,0.0014174442602741624,0.0024828909618855462,0.03900181319417008,0.009558019904901297,0.026554818947714182,0.002888974341554598
Arkansas,0.005285138062072811,6.809073576903623e-05,0.0004330426687533415,0.000912199698239152,0.003871804959311282,0.04067935099801564,0.01085056497297266,0.027203870147724473,0.0026249158773185076
Arizona,0.005119765523541296,7.475213786914747e-05,0.0003369725585741794,0.001441120428717789,0.00326692039838018,0.04826888327193299,0.009462108813243459,0.029583704504295056,0.009223069954394477
California,0.005260198781622479,6.923133880049776e-05,0.00025977656173163205,0.0017597428035019053,0.003171448077588444,0.033205900280263836,0.0069292465951416304,0.019153183174256606,0.0071234705108656
Colorado,0.0039667231002971075,3.709823204408042e-05,0.0004344567521462828,0.0008466116769365867,0.0026485564391701575,0.04041112560968157,0.007450954743373516,0.027363055521900288,0.005597115344407763
Connecticut,0.0027257397875454087,2.9993992631761468e-05,0.0002033878357506111,0.0011234892668639796,0.0013688686922990567,0.02578626395113436,0.004354842073059082,0.018400885993976636,0.003030535884098642
District of Columbia,0.013799525469505145,0.0003350233399593505,0.0002851993560679599,0.00635685311717742,0.006822449656300415,0.04489828175978311,0.006145530702741522,0.025489262931471406,0.013263488125570185
Delaware,0.006334490062857815,4.3956513939560984e-05,0.00044788123662741863,0.0015515461406774768,0.004291106171613358,0.031179424549831837,0.006903548716291591,0.021485231205323252,0.0027906446282169933
Florida,0.007088903985779982,4.969554863519871e-05,0.0003710000641033181,0.0016963460151908543,0.004971862357850611,0.040127776654359466,0.00927404483664094,0.02661565265704314,0.004238079160675389
Georgia,0.004459322601248523,6.175710121802742e-05,0.00023465508494722122,0.001537467124472204,0.0026254432906110702,0.04144886977387375,0.009248563901025266,0.027330145250731092,0.004870160622117386
Hawaii,0.0025548230629917424,1.884898663135623e-05,0.0002693834339397995,0.0007861598174161494,0.0014804308250044374,0.04799815908230567,0.007690386545593343,0.03313337700015236,0.007174395536559966
Iowa,0.0029327026184917068,1.3488341352152267e-05,0.00028561562813182425,0.00038880143947578913,0.002244797209531941,0.02845028399702717,0.00611932326293768,0.02047631379816855,0.0018546469359209368
Idaho,0.0025675701202000608,2.4486363544142268e-05,0.0004036751932848597,0.00018609636293548122,0.0019533122004355774,0.02697417808022712,0.005643057381344329,0.01931344434284547,0.002017676356037323
Illinois,0.005522416132260989,6.031917302883797e-05,0.00033786570554984177,0.0018217173620592559,0.0033025138916230536,0.03091710132375517,0.006081661036485501,0.021751093794198973,0.003084346493070698
Indiana,0.0032400157101342975,5.681438246516648e-05,0.00029620082543637354,0.0010866548601272993,0.001800345642105458,0.034595809556274885,0.006983062132432091,0.024142601546532177,0.003470145877310618
Kansas,0.0038938610829307627,3.6751702586301e-05,0.00039953831128473763,0.0006531614469545574,0.0028044096221051668,0.03805729772372326,0.0069238752159617376,0.02773552747062411,0.0033978950371374135
Kentucky,0.00266835513904014,4.55350706320843e-05,0.0003405543966746936,0.000884339003328374,0.001397926668404988,0.02530983020691136,0.0063408784146509805,0.01686091768026136,0.0021080341119990185
Louisiana,0.0059656146841667495,9.983735385752678e-05,0.00031526417740343455,0.0011840710167502675,0.004366442136155521,0.03696444747456976,0.008737321488038043,0.025034771131740713,0.003192354854791006
Massachusetts,0.0046078515340411946,2.766824898999233e-05,0.00027217474146896953,0.0012181801535649994,0.0030898283900172335,0.023584384351149252,0.005398106465867717,0.015245360633086843,0.0029409172521946904
Maryland,0.007043260169468328,9.875484806691858e-05,0.00022649209719695454,0.002572277546206803,0.004145735677997652,0.035509345124757605,0.006426579080180886,0.02298751663580876,0.0060952494087679636
Maine,0.0011250018964967911,1.4413375612568464e-05,0.0002473031815630168,0.00024502738541366386,0.000618257953907542,0.024190954468905037,0.004796619684119495,0.018371743715009634,0.0010225910697759099
Michigan,0.005537761093565253,6.227209181658582e-05,0.000514710024410858,0.0013214751694241454,0.0036393038079136643,0.030976851117130638,0.006982295420585609,0.019215246900923914,0.004779308795621114
Minnesota,0.002973235033029768,2.2431413028827878e-05,0.00044043591842689864,0.0009214434360711555,0.001588924265502886,0.03087752272936071,0.005796277126649123,0.0222956542160621,0.0027855913866494863
Missouri,0.005256737021541117,6.933780498932077e-05,0.0002802834156906623,0.0012411812057292345,0.0036659345951318995,0.039292975166199444,0.007386028570280334,0.02747432905755952,0.0044326175383595885
Mississippi,0.0027956029508034393,7.357754660828139e-05,0.0003943618970079381,0.0008268878485650315,0.0015007756586221882,0.032742352060996474,0.009237076482140599,0.02092937380694352,0.002575901771912356
Montana,0.002817904929407951,1.925675350392677e-05,0.00032201571137121995,0.0001893580761219466,0.002287274388410858,0.03146018612722081,0.0038962831256278505,0.02545528849291298,0.002108614508679982
North Carolina,0.004687251908599395,6.745491676582155e-05,0.00026543798016225847,0.0014569108945917185,0.0028974481170795964,0.04080215311482015,0.01202634685272078,0.02549346154302949,0.003282344719069874
North Dakota,0.0011125030530802626,1.8909400335641856e-05,0.00028364100503462783,8.509230151038836e-05,0.0007248603461996045,0.020245664626027213,0.0032193254071430258,0.015335523672205545,0.0016908155466786427
Nebraska,0.0028734537127672465,2.5026121013808163e-05,0.00033045855247778504,0.0005915264966900112,0.001926442542585642,0.03432446252139307,0.005351039693134254,0.025799086887848283,0.0031743359404105306
New Hampshire,0.0013475469824053676,1.4539121332028384e-05,0.0003106780663580802,0.00027930417295738737,0.0007430256217578716,0.018388927617367056,0.0032077892959927884,0.014151156357536889,0.0010299819638373792
New Jersey,0.003552621751894429,4.7913686423881006e-05,0.00013880031942457616,0.0015184157460229916,0.0018474920000229802,0.023369814377552953,0.0044788381218294525,0.015710173902552523,0.0031808023531709785
New Mexico,0.006463186369571933,7.476693743720746e-05,0.0005405026518898122,0.0009828736983932896,0.004865043081851624,0.04131652115670683,0.010871839604150604,0.02632782705991999,0.004116854492636235
Nevada,0.006074697975086857,8.539564507082657e-05,0.0004211746378250475,0.0019491763258399346,0.003618951366351048,0.04245904636278806,0.009733859912175138,0.02156115675448462,0.011164029696128303
New York,0.004443996680217114,4.5248116805994453e-05,0.00018824044932104787,0.0018212625870916235,0.0023892455269984487,0.021018630368496213,0.003522208671371884,0.015646322495546504,0.0018500992015778237
Ohio,0.0035012730277224073,5.143546353160252e-05,0.00040721194941714466,0.0016278888313993453,0.0014147367833743146,0.03667653675434379,0.008733828886417855,0.024327317854164768,0.003615390013761166
Oklahoma,0.005092223888524209,5.277354617346636e-05,0.00041795519723477904,0.0009115430702689645,0.003709952074846999,0.04047081905108084,0.010072692032210489,0.026475387490468308,0.003922739528402045
Oregon,0.0028701209798313817,2.198484090257665e-05,0.0003479101072832755,0.0006809804469573117,0.001819245584688218,0.04402436909689846,0.007590541132125871,0.031140427896454697,0.005293400068317893
Pennsylvania,0.004253085040419664,6.0941458474199995e-05,0.00028906887577841427,0.001548848125824443,0.002354226580342607,0.024218909457437227,0.004524983902104157,0.017324463610371914,0.0023694619449611573
Rhode Island,0.002524266961257625,3.16697699936381e-05,0.00030086281493956195,0.0007228159269136226,0.0014689184494108025,0.027279780994225854,0.004954456076357678,0.018225952631338728,0.00409937228652945
South Carolina,0.007673773049869164,7.393570842770536e-05,0.0004384340416955012,0.0013320200718965898,0.005829383227849368,0.04370353853004039,0.01006396851563234,0.02978361090226759,0.0038559591121404553
South Dakota,0.001789947643708792,2.3229313328592832e-05,0.0004865250624933054,0.0001871250240358867,0.001093068243851007,0.01767234537343057,0.003232746104895836,0.013356855163940879,0.001082744104593855
Tennessee,0.007573191934846102,7.236710100919364e-05,0.0003683838042092131,0.0016805622134594413,0.005451878816168254,0.04299932250289427,0.010327507305970958,0.028435905163837604,0.0042359100330857016
Texas,0.005281242024121238,6.136465573773923e-05,0.0003711972885457702,0.001560938897550595,0.0032877411822871336,0.04319046838983156,0.009587540541233647,0.029528393212502096,0.004074534636095816
Utah,0.0022535129825959088,2.2486943518419618e-05,0.000369428357802608,0.00043970005629766933,0.0014218976249772118,0.03836674116805216,0.006011643418111787,0.028944711833834336,0.0034103859161060323
Virginia,0.002833563382439707,6.054735603048361e-05,0.00023306766087716725,0.0009908350075294207,0.0015491133580026353,0.026493302047888728,0.0039433779105530475,0.020435922455494058,0.002114001681841623
Vermont,0.0012564529786129853,1.2853738911641792e-05,0.0002458277566851493,0.00012211051966059703,0.0008756609633555971,0.0236974744009756,0.005117394804197388,0.01750357896292821,0.00107650063385
Washington,0.0034560313190024187,3.258157831204856e-05,0.00044676495919594386,0.0009199130500982295,0.002056771731396197,0.04889795592713742,0.009590586244311932,0.03147396358396726,0.00783340609885823
Wisconsin,0.0024182092768637053,3.7267233562798185e-05,0.00020533160239697058,0.0008240400430997365,0.0013515703978042,0.026694193765010917,0.004422860806520825,0.019996041713250708,0.0022752912452393822
West Virginia,0.0027385737036287757,4.520190090530588e-05,0.0001846663024789935,0.00044981403827719016,0.002058891461967286,0.026325697335788937,0.00624778469342362,0.01797216555141082,0.0021057470909544933
Wyoming,0.002303468174010118,2.7515831430154993e-05,0.0002397808167484935,0.0001533024893965778,0.0018828690364348917,0.031584243648756484,0.004768100503539715,0.025363700329010728,0.0014524428162060385
