,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.005399268648906297,7.926219767919166e-05,0.00035718450123643005,0.002056644552321281,0.0029061773976693946,0.0449845326343017,0.012655296258747093,0.027952408520453876,0.0043768278551007305
Alaska,0.006216,0.000116,0.000916,0.001094,0.00409,0.054936,0.012368,0.03628,0.006288
Alabama,0.004311779448621554,9.3734335839599e-05,0.0002511278195488722,0.0009606516290726817,0.003006265664160401,0.03470852130325815,0.010017543859649123,0.022355388471177944,0.0023355889724310775
Arkansas,0.003213707960834398,7.492550021285653e-05,0.0002967220093656875,0.0006756066411238825,0.002166453810131971,0.030461472967220092,0.008859088974031502,0.019926351638995317,0.0016760323541932737
Arizona,0.005160825417622011,7.795610874549623e-05,0.000431051424828038,0.0013111693416311824,0.0033406485424172946,0.05983295119554537,0.01713953488372093,0.038848345889289225,0.003845070422535211
California,0.007633635157286707,0.00010604168292873312,0.0004567168839278745,0.003275466396065881,0.0037954101943642182,0.0570498399812661,0.01729349777534931,0.03346061977987667,0.006295722426040122
Colorado,0.004577721837633732,5.78980490874764e-05,0.0003895531780994336,0.0011400251730648207,0.002990245437382001,0.060133417243549404,0.015613278791692888,0.040547199496538705,0.00397293895531781
Connecticut,0.0039384908053265695,3.868103994927077e-05,0.00024064679771718453,0.0019051997463538364,0.0017539632213062777,0.04235034876347495,0.011289473684210526,0.026832593532022827,0.004228281547241598
District of Columbia,0.017215088282504013,0.0002808988764044944,0.0005874799357945426,0.009770465489566614,0.006576243980738363,0.06869823434991974,0.01758266452648475,0.04409470304975923,0.007020866773675762
Delaware,0.004357259380097879,4.078303425774878e-05,0.0004893964110929853,0.0011598694942903751,0.00266721044045677,0.04571125611745514,0.010893964110929853,0.032213703099510604,0.002603588907014682
Florida,0.00867984693877551,0.0001151603498542274,0.0005074708454810495,0.002761570699708455,0.0052956450437317785,0.05953252551020408,0.01807999271137026,0.03718595116618076,0.004266581632653061
Georgia,0.004785848894980298,9.35412026726058e-05,0.00040363200274113416,0.0014414939181086174,0.0028471817714579408,0.040195477128661984,0.012045571355148192,0.0252271714922049,0.0029227342813088917
Hawaii,0.0023185755534167467,3.27237728585178e-05,0.000302213666987488,0.0011588065447545716,0.0008248315688161693,0.05252454282964389,0.012135707410972089,0.03689027911453321,0.003498556304138595
Iowa,0.0019865979381443297,2.0274914089347078e-05,0.0001288659793814433,0.00038281786941580755,0.001454639175257732,0.0360085910652921,0.008713745704467354,0.0257106529209622,0.001584192439862543
Idaho,0.0023526473526473525,3.3966033966033965e-05,0.0001868131868131868,0.00024375624375624376,0.0018881118881118881,0.03436363636363637,0.008742257742257743,0.024113886113886113,0.0015074925074925075
Illinois,0.007248805490400486,8.97402484579967e-05,0.00031222309095647644,0.003037529319781079,0.0038093128312049343,0.04579306750065155,0.011733819824515681,0.028203370688906264,0.0058558769872296065
Indiana,0.003052200800291015,5.5110949436158605e-05,0.0002495452891960713,0.0009885412877409967,0.0017590032739177883,0.036241906147690066,0.009279556202255365,0.023452346307748274,0.0035100036376864313
Kansas,0.003341673502871206,3.6505332239540604e-05,0.0002744052502050861,0.0007157506152584085,0.0023150123051681707,0.04005168170631665,0.010490976210008203,0.027493027071369976,0.002067678424938474
Kentucky,0.002777867311308085,6.553854418479721e-05,0.00022186408810099381,0.0007066881547139404,0.0017837765243083534,0.02680714477571851,0.007852269674993285,0.01715283373623422,0.001802041364491002
Louisiana,0.006779695203944419,0.0001288659793814433,0.0004177498879426266,0.001905199462124608,0.004327879874495742,0.04432496638278799,0.012261541909457642,0.028988794262662484,0.003074630210667862
Massachusetts,0.005236633321835116,3.6391859261814415e-05,0.00028061400482925147,0.0017457744049672302,0.0031738530527768197,0.040647637116246985,0.010996205588133839,0.021251121076233184,0.008400310451879958
Maryland,0.007922510922051046,8.139802253391584e-05,0.00037709818349045756,0.0030114968958381235,0.0044525178201885495,0.04422280984134284,0.011838123706599217,0.02841273856058864,0.003971947574154978
Maine,0.0015847750865051902,1.730103806228374e-05,0.00013408304498269897,0.000263840830449827,0.0011695501730103806,0.033688581314878896,0.008881487889273357,0.023192906574394465,0.0016141868512110726
Michigan,0.00760099173553719,9.68595041322314e-05,0.0006479338842975207,0.003066887052341598,0.0037893112947658403,0.05795911845730028,0.01644176308539945,0.03285862258953168,0.008658732782369146
Minnesota,0.002114848630466122,1.7779913503123498e-05,0.00025252282556463237,0.00071119654012494,0.0011333493512734262,0.03630033637674195,0.009909178279673234,0.024324843825084094,0.002066314271984623
Missouri,0.004606829073482428,7.148562300319489e-05,0.0002645766773162939,0.001408346645367412,0.0028624201277955273,0.03836321884984026,0.011154752396166135,0.023911541533546327,0.0032969249201277957
Montana,0.00237621359223301,4.368932038834951e-05,0.00020631067961165048,0.0002742718446601942,0.0018519417475728155,0.044150485436893205,0.00858009708737864,0.03286407766990291,0.0027063106796116503
