,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.004758350949315217,5.683846831937673e-05,0.00032285611817691465,0.0014245209900942048,0.002954135372724721,0.03591216607881311,0.0074103015514590895,0.024164609321365747,0.004337255205988277
Alaska,0.005980440550379466,6.01591904732523e-05,0.0009332387240081446,0.0006879743320787314,0.004299068303819337,0.037616462022582835,0.005975812920343062,0.027844449929043006,0.003796199173196767
Alabama,0.004292223816457751,6.638947396000556e-05,0.00036769554808618464,0.0013406677049181057,0.002517471089493455,0.040464495397810614,0.009602049503011507,0.02754141792817769,0.003321027966621415
Arkansas,0.004563794507902781,6.598787142923131e-05,0.000333971949289054,0.0008164166092938784,0.003347418077890617,0.03632412362607753,0.00917084773152028,0.02495111398524951,0.002202161909307736
Arizona,0.0051329737371984836,7.904327879406842e-05,0.00033266286948251925,0.0013656025876009235,0.0033556650013209727,0.056340292607105436,0.01050558662121708,0.03561876548378968,0.01021594050209868
California,0.00579625720672463,6.787410957176653e-05,0.0002818171379560593,0.0017982268248406947,0.003648339134356109,0.03426376414753615,0.0068317956054799196,0.020626905240636983,0.006805063301419248
Colorado,0.0034648794218882658,4.0680503461910843e-05,0.00042065839525748887,0.0008219660645439067,0.0021815744586249596,0.03951638137906027,0.007123266103487243,0.02737599977834623,0.005017115497226799
Connecticut,0.003167515543625393,3.211966870855989e-05,0.00020017436391584647,0.0012079289696469131,0.0017272925413540734,0.026665347465987563,0.004600855759744878,0.018803771766811205,0.003260719939431482
District of Columbia,0.016249417165811842,0.0004465406549262939,0.0004913740540152793,0.007067537032387648,0.008243965424482623,0.058634912664538574,0.00837667228578602,0.03249345432373301,0.017764786055019546
Delaware,0.006752908334005568,2.5667162898482704e-05,0.00045223096535421906,0.001761256273176837,0.00451375393257603,0.034153215851062006,0.007414143340104575,0.02314078072176062,0.0035982917891968134
Florida,0.007310940450601708,5.435555983550031e-05,0.0003957249469842106,0.0018543834552970523,0.005006476488484945,0.04457250028692559,0.01003836596598389,0.029736079638189628,0.004798054682752069
Georgia,0.004545056393967125,7.57221263049677e-05,0.00025747828031247766,0.0016185172293769578,0.0025933387579727216,0.04259675028755967,0.009105211111444068,0.02849042120864961,0.005001117967465994
Hawaii,0.0027227118209736897,1.761754707688858e-05,0.0002938927171462777,0.0009353315902639028,0.0014758699664866206,0.05274613515061001,0.009136299754555537,0.03588133781246121,0.007728497583593259
Iowa,0.0027787446260608517,1.699537997590735e-05,0.000270566449216445,0.00038443549505502424,0.002106747301813475,0.029760269968211843,0.005953481605560344,0.021890049408968666,0.001916738953682831
Idaho,0.0024593389776699044,1.901927823302127e-05,0.00039135822517947616,0.00017922012181116197,0.001869741352446245,0.029291151500255297,0.005732849365853373,0.021622724818841376,0.0019355773155605494
Illinois,0.005563721713669928,7.075609488653213e-05,0.00033117014690467385,0.001880451925107322,0.0032813435467713994,0.032878657566352415,0.006193727657972469,0.023393546111272694,0.0032913837971072536
Indiana,0.0035231470048492065,5.451990145769764e-05,0.0002774385517965679,0.0010324907965405994,0.0021586977550543418,0.033556999347212894,0.006707238291165631,0.023499367940136504,0.003350393115910762
