,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.0071359092608369685,8.960268477085981e-05,0.00039264460372709446,0.002377582617518602,0.004276079354820413,0.0466024347122998,0.010420639354222088,0.030268897826015533,0.005912897532062183
Alaska,0.007663366336633663,6.27062706270627e-05,0.0006897689768976898,0.0014620462046204621,0.005448844884488449,0.04941749174917492,0.008,0.03601320132013201,0.0054042904290429045
Alabama,0.0068366911590424274,0.00011874851860630481,0.000352453187959232,0.0017120170656553687,0.0046534723868215215,0.04219364778383503,0.0104441810855653,0.02843114482104764,0.0033183218772220905
Arkansas,0.005951080309824704,0.00011985324092947412,0.0004190786791683653,0.0012874031797798615,0.004124745209947003,0.04203628210354668,0.010970648185894823,0.02791602119853241,0.0031496127191194454
Arizona,0.007031411042944785,0.0001045398773006135,0.00035950920245398775,0.001619877300613497,0.004947484662576687,0.07221423312883436,0.014762453987730061,0.04678503067484663,0.010666748466257668
California,0.01012996722980497,0.0001178136234927301,0.00034946390506188156,0.003568451528745506,0.006094238172504852,0.051608348445801915,0.012225414399796379,0.029577169036938054,0.00980576500906748
Colorado,0.0050962800875273525,5.4431072210065646e-05,0.0004318927789934354,0.0010694748358862144,0.003540481400437637,0.04808752735229759,0.00925683807439825,0.03490153172866521,0.0039291575492341356
Connecticut,0.0045545038167938935,6.564885496183206e-05,0.0002461068702290076,0.0018778625954198474,0.0023648854961832062,0.040925190839694654,0.008898320610687023,0.025869007633587786,0.006157862595419847
District of Columbia,0.026626315789473685,0.0007,0.0004368421052631579,0.011071929824561403,0.014417543859649122,0.08422631578947369,0.01760877192982456,0.052124561403508775,0.014492982456140351
Delaware,0.006443342776203966,4.674220963172805e-05,0.000773371104815864,0.0016161473087818697,0.004007082152974504,0.04245184135977337,0.008779036827195467,0.029501416430594903,0.004171388101983003
Florida,0.011468214720848562,8.349458897728087e-05,0.0005232566473159894,0.0032875367304522323,0.00757392675410306,0.07103167777538881,0.01701003368451229,0.04490632838816025,0.009115315702716262
Georgia,0.006676541459957477,9.964564138908575e-05,0.00034698795180722894,0.002225797306874557,0.004004110559886605,0.05342678951098512,0.011538766832034019,0.036315804394046775,0.0055722182849043235
Hawaii,0.002621713316369805,4.240882103477523e-05,0.0003044953350296862,0.0010356234096692112,0.0012391857506361323,0.06418320610687023,0.011899067005937234,0.04687022900763359,0.0054139100932994065
Iowa,0.0031509367267585717,1.661364439731354e-05,0.00023541887592788972,0.00046907034287734184,0.0024298338635560268,0.03339519264757865,0.006670908448214917,0.02492294096854012,0.0018013432308236126
Idaho,0.0028578993821712266,3.53045013239188e-05,0.0002789055604589585,0.00018446601941747573,0.002359223300970874,0.0379117387466902,0.0071906443071491615,0.028770520741394526,0.0019505736981465136
Illinois,0.009609257998638529,0.00011725663716814159,0.0003329646017699115,0.003726004084411164,0.005433032675289312,0.046649251191286586,0.01005071477195371,0.030963921034717495,0.005634615384615385
Indiana,0.0052512169680111265,7.875521557719054e-05,0.000355702364394993,0.0013021557719054243,0.0035146036161335186,0.04067715577190542,0.008505041724617524,0.027823887343532683,0.004348226703755216
Kansas,0.004429913860610806,6.656225528582616e-05,0.0004130775254502741,0.0011511354737666405,0.0027991386061080657,0.044039545810493345,0.011211824588880188,0.029545418950665623,0.0032823022709475335
Kentucky,0.004439770054873269,6.375751241181082e-05,0.0003527567285079697,0.0009393781029527045,0.003083877711000784,0.02893258426966292,0.007504050169845833,0.019192317742356937,0.0022362163574601514
Louisiana,0.009819003476245656,0.00019837775202780997,0.0004456546929316338,0.0026720741599073,0.006502896871378911,0.056891772885283895,0.012789803012746234,0.038025724217844725,0.006076245654692932
Massachusetts,0.007076477404403245,3.542459857639464e-05,0.0003021023009435524,0.0016818407548419136,0.005057109750041384,0.037333554047343155,0.008810130773050819,0.02151332560834299,0.007010097665949346
Maryland,0.009480023971234519,0.00011566120655213743,0.00040651218537754696,0.004024570515381542,0.004933280063923292,0.05174570515381542,0.010434278865361565,0.03368118258090291,0.007630243707550939
Maine,0.0012991935483870967,2.258064516129032e-05,0.0002564516129032258,0.00022419354838709677,0.0007959677419354838,0.03142822580645161,0.007208064516129032,0.02278790322580645,0.001432258064516129
Michigan,0.007661225779275484,9.762005054759899e-05,0.0007076663858466722,0.002288647851727043,0.0045672914911541705,0.04679075400168492,0.009672388374052232,0.030557287278854255,0.006561078348778433
Minnesota,0.0035903218743157436,3.2187431574337637e-05,0.0005966717757827896,0.0011758265820013137,0.0017856360849573024,0.03981957521348806,0.007917013356689293,0.028759360630610905,0.0031432012261878696
Missouri,0.007434634331186055,0.00010496400151572565,0.00037040545661235315,0.0023073133762788935,0.004651951496779083,0.04564190981432361,0.01052993558165972,0.029989200454717695,0.005122773777946192
Montana,0.0017710280373831775,3.2710280373831774e-05,0.000272196261682243,0.0003271028037383178,0.001139018691588785,0.04841705607476635,0.0072172897196261685,0.03833761682242991,0.0028621495327102804
North Carolina,0.00654992927864215,0.0001091937765205092,0.00033012729844413013,0.001812022630834512,0.0042985855728429985,0.0497025459688826,0.014726732673267327,0.03195714285714286,0.0030186704384724187
