,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.004586141767332526,5.415054576580488e-05,0.0002984611010171147,0.0014588022187377897,0.0027747279018118165,0.03214550046753315,0.007330424992426816,0.021660895804799192,0.00315417967030714
Alaska,0.00652053860377419,3.934179716243645e-05,0.0006513253085781146,0.0009398318211026486,0.00489003967693099,0.02927321129604994,0.004716644348696548,0.022184402288818333,0.002372164658535057
Alabama,0.004528196658014972,7.529119028722195e-05,0.00034706879169437354,0.001575752375640833,0.002530084300392544,0.04084514897359446,0.010813402260880756,0.02714322486539823,0.0028885218473154724
Arkansas,0.005130297437477892,5.7785451374418206e-05,0.0005123643355198415,0.0009725466573742991,0.003587600993209334,0.03864971159806541,0.011876486224298608,0.024481769565628513,0.002291455808138293
Arizona,0.004856327055558461,7.107495484740422e-05,0.0003384521659400201,0.0015090351344116625,0.0029377648003593745,0.041022402456547355,0.009016058016854917,0.026070047290998096,0.005936297148694344
California,0.005042051420006374,5.8275143888186156e-05,0.0002422145686445011,0.0018877664258232778,0.002853795281650409,0.029409522615571282,0.006469874063115518,0.017701714295850445,0.005237934256605319
Colorado,0.0035388512419181383,3.3404488267533915e-05,0.00043547305614221487,0.0006891447155314269,0.0023808289819769626,0.028209584213322276,0.005679572811256948,0.019827487075499813,0.0027025243265655164
Connecticut,0.003066617312892645,3.770079959968605e-05,0.00019421624036201906,0.0011547297937994751,0.001679970479131465,0.024908232826428945,0.0043147422693367975,0.01805411321435875,0.002539377342733399
District of Columbia,0.01437736658820985,0.00031427784527054086,0.00031427784527054086,0.0074852196481101935,0.006263591249558575,0.05104649453477586,0.006400454182176391,0.03372235073069599,0.010923689621903477
Delaware,0.007086309346552254,6.52852162200547e-05,0.0004249265827656192,0.0021154700764638777,0.004480627471102702,0.03594695633449854,0.00776894073018651,0.025249343711773786,0.0029286718925382433
Florida,0.006888567104276765,6.372644767611251e-05,0.00032583419993299995,0.0019787934968469594,0.0045202129598206926,0.04140522273157307,0.01028309164932558,0.02765673268828492,0.0034653983939625737
Georgia,0.004888937803848625,6.607649345264545e-05,0.0002409727120601164,0.0018385784303198598,0.0027433101680160036,0.040050304860421666,0.010382682011830997,0.025574597057283363,0.004093025791307307
Hawaii,0.002724736414743696,2.0183232701805158e-05,0.00028178897964443355,0.000842261826209946,0.0015805023761875116,0.03566532474045139,0.007300120012606758,0.024393765554674048,0.003971439173170584
Iowa,0.002881212833736601,2.5644825823340454e-05,0.00031206755579831174,0.0004159790578357432,0.0021275213942792055,0.024403549643553575,0.005527958688516946,0.01741816552902445,0.0014574254260121796
Idaho,0.002414989736293621,1.509368585183513e-05,0.00037996713513967564,0.00015684308341689548,0.0018630858318852146,0.02096053591772235,0.004428356179486237,0.015442809368060187,0.0010893703701759267
Illinois,0.005253627021780229,6.123289092957187e-05,0.00031918613271895817,0.0018644252638226858,0.0030087827343090135,0.029326291705896408,0.006120808773324596,0.02068082758654901,0.0025246553460228035
Indiana,0.0033755217356940606,5.049560970469164e-05,0.000268316733555054,0.0011886854706880826,0.0018680239217462322,0.03350258248975347,0.007653534880861725,0.02310472099450633,0.002744326614385415
Kansas,0.004123286038426428,4.0326408373047116e-05,0.0004375236873040333,0.0005998999334078956,0.003045536009341452,0.033860621940278376,0.00701286947733406,0.024205123666462776,0.002642628796481539
Kentucky,0.002972422524357351,4.708092414466727e-05,0.00034127814168547366,0.0009556724901007087,0.0016283909684265017,0.02681785655309077,0.006923003950347193,0.018101327049630557,0.0017935255531130211
Louisiana,0.006713754161380395,0.00012333374746871086,0.00028339555944097166,0.0014149373491768832,0.004892087505293829,0.03880909477563687,0.010321039558392635,0.025412873322638363,0.0030751818946058718
Massachusetts,0.004637912134672275,2.554645168250316e-05,0.0002694688969642351,0.0010891098708257522,0.0032537869151997847,0.023995043372796447,0.005578821806882061,0.016453299932117228,0.0019629216337971552
Maryland,0.006282487014956874,8.751069698453758e-05,0.00020004980831962244,0.002343618118228904,0.00365130839142381,0.035175572551604244,0.006895949426272415,0.023782851347016836,0.0044967717783149916
Maine,0.0011941151090503594,2.354807148890658e-05,0.0002878941643321159,0.0002529518647034158,0.0006297210085259212,0.02463660008386152,0.004982316157927041,0.01875869759414671,0.0008955863317877695
Michigan,0.005149437862363499,5.538104860516731e-05,0.00045054582321929433,0.0013241468769387115,0.0033193641136003258,0.029499905132463672,0.007476141664322469,0.018449486585690376,0.0035742768824508254
Minnesota,0.002653631632714242,2.1071210539129908e-05,0.00034575940930117716,0.0008005144440274899,0.001486286568846445,0.028640947147082603,0.005087356449983747,0.02160067259304041,0.0019529181040584492
Missouri,0.005024185479239563,7.713641219262789e-05,0.0002726839834528863,0.0012509293161501827,0.003423435767443867,0.03662660140520214,0.007741214103445681,0.02537415811780388,0.0035112291839525813
Mississippi,0.003042926981322513,8.030985994096545e-05,0.0003260035839976479,0.0010477714354162398,0.0015888421019676596,0.029091225875564636,0.008679590201924851,0.0182841049772376,0.0021275306964021862
Montana,0.0031144050277019763,4.134623335814107e-05,0.0003700487885553626,0.00021086579012651946,0.002492144215661953,0.027185148432977757,0.0038131563714545605,0.021535185644587777,0.0018368064169354173
North Carolina,0.004676107578774928,6.49504565724332e-05,0.00024895867828097937,0.0015530640892937576,0.002809134354627758,0.04041924381186965,0.012096182192645006,0.025425013450925106,0.0028980481682995365
North Dakota,0.0022463642726752624,1.7147818875383683e-05,0.0005159934588865454,0.00011379916162754625,0.0015994238332857872,0.020310812011579454,0.00364157317208148,0.015249087658091198,0.0014201511814067758
Nebraska,0.0031231916888336646,3.86894482099682e-05,0.0003369907010752302,0.0007272494830192572,0.002020262056529209,0.028792799501186475,0.004895616990162787,0.021528154703964044,0.0023690278070596467
New Hampshire,0.001561016834510176,1.0639842104743165e-05,0.00029259565788043707,0.00031995525186406234,0.0009378260826609333,0.021573799844810303,0.003242111887059596,0.01726238382622402,0.001069304131526688
New Jersey,0.003265243224398603,4.33046965671008e-05,0.0001292230573092742,0.0014628004018583704,0.0016299150686638578,0.022933867854566706,0.004653181783787251,0.015956513792257928,0.002324172278521527
New Mexico,0.006534613748742665,8.113463511587638e-05,0.0005634069693139739,0.0010839788828214292,0.004806093261491386,0.03815746771244676,0.010434619594467929,0.0236827464426746,0.00404010167530423
Nevada,0.00729683901072508,6.345746253990609e-05,0.00042535729435840084,0.0024944551638413992,0.004313569089985374,0.034615468929495685,0.009327862402684135,0.01915800023613868,0.006129606290672869
New York,0.003978697707890239,4.28931380573626e-05,0.00014355861278050303,0.0016309140902265368,0.0021613318668258366,0.01993807482769503,0.0033629041158274807,0.015287709571588365,0.001287461140279186
Ohio,0.003520487275279016,4.762356661335497e-05,0.0003944833278338416,0.0016286040897064316,0.0014497762911253875,0.03409977964305832,0.008917708740535142,0.022705035996277177,0.0024770349062460005
Oklahoma,0.005314959170713721,5.902764717720182e-05,0.00040385892557052967,0.0010152755314478713,0.003836797066518118,0.03473982946775457,0.009676965023510849,0.02203653070082839,0.003026333743415329
Oregon,0.0026144704833168868,2.295478171849522e-05,0.00031213226175838907,0.0007007804625784288,0.0015786029772615737,0.033025598539337106,0.005571151907885363,0.024452647187643468,0.0030017994438082773
